question,context,response
Samsung Galaxy S21 Ultra ko price kati ho?,"Samsung Galaxy S21 Ultra ek flagship smartphone ho. Isko price 140000 ho. Yesma 108 MP quad camera setup, 12 GB RAM, 5G support, ra 5000 mAh battery cha.","Samsung Galaxy S21 Ultra ko price 140000 ho. Yesma 108 MP quad camera setup, 12 GB RAM, 5G support, ra 5000 mAh battery cha."
LG Washing Machine 7kg available cha?,"LG Washing Machine 7kg ek fully automatic washing machine ho. Yesko price 35000 ho. Yesma smart inverter technology, stainless steel drum, ra energy-saving features available cha.","LG Washing Machine 7kg stock ma available cha. Yesko price 35000 ho. Yesma smart inverter technology, stainless steel drum, ra energy-saving features cha."
Canon PIXMA G3010 printer ko barema jankari dinu?,"Canon PIXMA G3010 ek all-in-one printer ho. Isko price 25000 ho. Yesma high page yield ink tanks, wireless printing, ra scanner features cha.","Canon PIXMA G3010 ko price 25000 ho. Yesma high page yield ink tanks, wireless printing, ra scanner features cha."
Sony PlayStation 5 console ko price kati ho?,"Sony PlayStation 5 ek gaming console ho. Isko price 80000 ho. Yesma 825 GB SSD storage, ray tracing support, ra 4K gaming experience available cha.","Sony PlayStation 5 ko price 80000 ho. Yesma 825 GB SSD storage, ray tracing support, ra 4K gaming experience cha."
Philips Air Fryer HD9252 ko features ke ho?,"Philips Air Fryer HD9252 ek compact air fryer ho. Yesko price 15000 ho. Yesma Rapid Air technology, 4.1L capacity, ra dishwasher-safe parts available cha.","Philips Air Fryer HD9252 ko features ho: Rapid Air technology, 4.1L capacity, ra dishwasher-safe parts."
Acer Predator Helios 300 laptop ko barema jankari dinu?,"Acer Predator Helios 300 ek gaming laptop ho. Yesko price 120000 ho. Yesma Intel i7 processor, 16 GB RAM, 512 GB SSD, NVIDIA RTX 3060 graphics card, ra 144 Hz display available cha.","Acer Predator Helios 300 ko price 120000 ho. Yesma Intel i7 processor, 16 GB RAM, 512 GB SSD, NVIDIA RTX 3060 graphics card, ra 144 Hz display available cha."
Nikon D5600 DSLR camera ko price kati ho?,"Nikon D5600 ek DSLR camera ho. Isko price 65000 ho. Yesma 24.2 MP sensor, vari-angle touchscreen display, ra Bluetooth connectivity available cha.","Nikon D5600 ko price 65000 ho. Yesma 24.2 MP sensor, vari-angle touchscreen display, ra Bluetooth connectivity cha."
Dyson V11 vacuum cleaner ko features ke ho?,"Dyson V11 ek premium cordless vacuum cleaner ho. Yesko price 90000 ho. Yesma advanced filtration, LCD display, ra 60 minutes battery backup cha.","Dyson V11 ko features ho: advanced filtration, LCD display, ra 60 minutes battery backup."
Samsung 253L Double Door Refrigerator available cha?,"Samsung 253L Double Door Refrigerator ek frost-free refrigerator ho. Yesko price 45000 ho. Yesma Digital Inverter Technology, toughened glass shelves, ra stabilizer-free operation available cha.","Samsung 253L Double Door Refrigerator stock ma available cha. Yesko price 45000 ho. Yesma Digital Inverter Technology, toughened glass shelves, ra stabilizer-free operation available cha."
JBL Charge 5 speaker ko barema jankari dinu?,"JBL Charge 5 ek portable Bluetooth speaker ho. Isko price 20000 ho. Yesma IP67 waterproof rating, 20 ghanta battery life, ra power bank functionality available cha.","JBL Charge 5 ko price 20000 ho. Yesma IP67 waterproof rating, 20 ghanta battery life, ra power bank functionality available cha."
OnePlus Nord 2 5G ko price kati ho?,"OnePlus Nord 2 5G ek mid-range smartphone ho. Yesko price 50000 ho. Yesma MediaTek Dimensity 1200 processor, 8 GB RAM, 128 GB storage, ra 4500 mAh battery available cha.","OnePlus Nord 2 5G ko price 50000 ho. Yesma MediaTek Dimensity 1200 processor, 8 GB RAM, 128 GB storage, ra 4500 mAh battery cha."
Sony WH-CH510 headphones ko barema jankari dinu?,"Sony WH-CH510 ek wireless headphones ho. Isko price 6000 ho. Yesma Bluetooth 5.0 support, 35 ghanta battery life, ra lightweight design cha.","Sony WH-CH510 ko price 6000 ho. Yesma Bluetooth 5.0 support, 35 ghanta battery life, ra lightweight design cha."
Dell XPS 13 laptop ko features ke ho?,"Dell XPS 13 ek premium ultrabook ho. Yesko price 140000 ho. Yesma Intel i7 processor, 16 GB RAM, 512 GB SSD, 13.3-inch 4K UHD touchscreen display, ra Windows 11 available cha.","Dell XPS 13 ko features ho: Intel i7 processor, 16 GB RAM, 512 GB SSD, 13.3-inch 4K UHD touchscreen display, ra Windows 11."
Apple AirPods Pro available cha?,"Apple AirPods Pro ek premium wireless earbuds ho. Yesko price 38000 ho. Yesma Active Noise Cancellation, Transparency Mode, ra H1 chip jastai features cha. Hami sanga yo product stock ma available cha.","Apple AirPods Pro stock ma available cha. Yesko price 38000 ho. Yesma Active Noise Cancellation, Transparency Mode, ra H1 chip cha."
Samsung QLED 65-inch TV ko barema jankari dinu?,"Samsung QLED 65-inch TV ek premium smart TV ho. Isko price 180000 ho. Yesma 4K resolution, Quantum Dot technology, HDR10+ support, ra Bixby voice assistant available cha.","Samsung QLED 65-inch TV ko price 180000 ho. Yesma 4K resolution, Quantum Dot technology, HDR10+ support, ra Bixby voice assistant cha."
HP DeskJet 2331 printer ko price kati ho?,"HP DeskJet 2331 ek budget-friendly all-in-one printer ho. Yesko price 6000 ho. Yesma printing, scanning, ra copying ko features available cha.","HP DeskJet 2331 ko price 6000 ho. Yesma printing, scanning, ra copying ko features cha."
Logitech MX Master 3 mouse ko features ke ho?,"Logitech MX Master 3 ek advanced wireless mouse ho. Isko price 12000 ho. Yesma ergonomic design, customizable buttons, USB-C charging, ra 4000 DPI sensor available cha.","Logitech MX Master 3 ko features ho: ergonomic design, customizable buttons, USB-C charging, ra 4000 DPI sensor."
Xiaomi Mi 11 Lite smartphone ko price kati ho?,"Xiaomi Mi 11 Lite ek slim design smartphone ho. Yesko price 35000 ho. Yesma AMOLED display, Snapdragon 732G processor, 64 MP triple camera, ra 4250 mAh battery cha.","Xiaomi Mi 11 Lite ko price 35000 ho. Yesma AMOLED display, Snapdragon 732G processor, 64 MP triple camera, ra 4250 mAh battery cha."
Panasonic Microwave Oven NN-SN936 ko barema jankari dinu?,"Panasonic Microwave Oven NN-SN936 ek high-capacity microwave oven ho. Yesko price 28000 ho. Yesma 2.2 cubic feet capacity, inverter technology, ra 1250 watts power available cha.","Panasonic Microwave Oven NN-SN936 ko price 28000 ho. Yesma 2.2 cubic feet capacity, inverter technology, ra 1250 watts power available cha."
Razer BlackWidow V3 keyboard ko features ke ho?,"Razer BlackWidow V3 ek mechanical gaming keyboard ho. Isko price 15000 ho. Yesma RGB lighting, mechanical switches, ra ergonomic wrist rest cha.","Razer BlackWidow V3 ko features ho: RGB lighting, mechanical switches, ra ergonomic wrist rest."
Samsung Galaxy Watch 4 ko price kati ho?,"Samsung Galaxy Watch 4 ek premium smartwatch ho. Isko price 35000 ho. Yesma body composition analysis, Wear OS, ra SpO2 monitoring cha.","Samsung Galaxy Watch 4 ko price 35000 ho. Yesma body composition analysis, Wear OS, ra SpO2 monitoring cha."
Asus TUF Gaming A15 laptop ko barema jankari dinu?,"Asus TUF Gaming A15 ek durable gaming laptop ho. Yesko price 90000 ho. Yesma AMD Ryzen 5 processor, 16 GB RAM, 512 GB SSD, NVIDIA GTX 1650 graphics, ra RGB keyboard cha.","Asus TUF Gaming A15 ko price 90000 ho. Yesma AMD Ryzen 5 processor, 16 GB RAM, 512 GB SSD, NVIDIA GTX 1650 graphics, ra RGB keyboard cha."
Realme Buds Air 2 ko features ke ho?,"Realme Buds Air 2 ek wireless earbuds ho. Isko price 7000 ho. Yesma Active Noise Cancellation, 25 ghanta playback time, ra Bluetooth 5.2 support available cha.","Realme Buds Air 2 ko features ho: Active Noise Cancellation, 25 ghanta playback time, ra Bluetooth 5.2 support."
Poco X5 Pro smartphone ko price kati ho?,"Poco X5 Pro ek mid-range smartphone ho. Yesko price 40000 ho. Yesma Snapdragon 778G processor, 108 MP camera, 6.67-inch AMOLED display, ra 5000 mAh battery cha.","Poco X5 Pro ko price 40000 ho. Yesma Snapdragon 778G processor, 108 MP camera, 6.67-inch AMOLED display, ra 5000 mAh battery cha."
Sony Alpha 7C camera ko barema jankari dinu?,"Sony Alpha 7C ek compact full-frame camera ho. Isko price 200000 ho. Yesma 24.2 MP sensor, 4K video recording, in-body stabilization, ra fast autofocus system cha.","Sony Alpha 7C ko price 200000 ho. Yesma 24.2 MP sensor, 4K video recording, in-body stabilization, ra fast autofocus system cha."
Samsung Galaxy Tab S8 ko features ke ho?,"Samsung Galaxy Tab S8 ek high-performance tablet ho. Yesko price 80000 ho. Yesma 11-inch LCD display, Snapdragon 8 Gen 1 processor, 8 GB RAM, ra S Pen support cha.","Samsung Galaxy Tab S8 ko features ho: 11-inch LCD display, Snapdragon 8 Gen 1 processor, 8 GB RAM, ra S Pen support."
Huawei FreeBuds 4i ko price kati ho?,"Huawei FreeBuds 4i ek wireless earbuds ho. Isko price 10000 ho. Yesma Active Noise Cancellation, 10 ghanta battery life, ra quick charge support cha.","Huawei FreeBuds 4i ko price 10000 ho. Yesma Active Noise Cancellation, 10 ghanta battery life, ra quick charge support cha."
MSI GF65 Thin gaming laptop available cha?,"MSI GF65 Thin ek gaming laptop ho. Yesko price 110000 ho. Yesma Intel i5 processor, NVIDIA RTX 3060 graphics card, 16 GB RAM, ra 144 Hz display cha. Hami sanga yo laptop stock ma available cha.","MSI GF65 Thin stock ma available cha. Yesko price 110000 ho. Yesma Intel i5 processor, NVIDIA RTX 3060 graphics card, 16 GB RAM, ra 144 Hz display cha."
Dyson Pure Cool Air Purifier ko barema jankari dinu?,"Dyson Pure Cool Air Purifier ek premium air purifier ho. Isko price 65000 ho. Yesma HEPA filter, real-time air quality monitoring, ra bladeless fan technology cha.","Dyson Pure Cool Air Purifier ko price 65000 ho. Yesma HEPA filter, real-time air quality monitoring, ra bladeless fan technology cha."
Realme 4K Smart Google TV Stick ko price kati ho?,"Realme 4K Smart Google TV Stick ek media streaming device ho. Yesko price 5000 ho. Yesma Android TV 11, Google Assistant, ra 4K HDR support available cha.","Realme 4K Smart Google TV Stick ko price 5000 ho. Yesma Android TV 11, Google Assistant, ra 4K HDR support available cha."
Asus ZenBook Duo 14 laptop ko features ke ho?,"Asus ZenBook Duo 14 ek dual-screen laptop ho. Yesko price 160000 ho. Yesma Intel i7 processor, 16 GB RAM, 1 TB SSD, ra secondary ScreenPad Plus display available cha.","Asus ZenBook Duo 14 ko features ho: Intel i7 processor, 16 GB RAM, 1 TB SSD, ra secondary ScreenPad Plus display."
Sony HT-S40R soundbar ko barema jankari dinu?,"Sony HT-S40R ek home theater soundbar system ho. Isko price 40000 ho. Yesma 600W power output, wireless rear speakers, ra Dolby Audio support cha.","Sony HT-S40R ko price 40000 ho. Yesma 600W power output, wireless rear speakers, ra Dolby Audio support cha."
Fitbit Versa 3 smartwatch ko price kati ho?,"Fitbit Versa 3 ek fitness-focused smartwatch ho. Yesko price 25000 ho. Yesma built-in GPS, heart rate monitoring, 6 din battery life, ra Alexa support cha.","Fitbit Versa 3 ko price 25000 ho. Yesma built-in GPS, heart rate monitoring, 6 din battery life, ra Alexa support cha."
Samsung Galaxy A13 smartphone ko price kati ho?,"Samsung Galaxy A13 ek budget smartphone ho. Yesko price 22000 ho. Yesma 6.6-inch PLS LCD display, Exynos 850 processor, 50 MP quad camera setup, ra 5000 mAh battery cha.","Samsung Galaxy A13 ko price 22000 ho. Yesma 6.6-inch PLS LCD display, Exynos 850 processor, 50 MP quad camera setup, ra 5000 mAh battery cha."
LG UltraGear 27-inch gaming monitor ko barema jankari dinu?,"LG UltraGear 27-inch gaming monitor ek high-performance monitor ho. Isko price 50000 ho. Yesma 144 Hz refresh rate, 1 ms response time, QHD resolution, ra NVIDIA G-Sync support cha.","LG UltraGear 27-inch gaming monitor ko price 50000 ho. Yesma 144 Hz refresh rate, 1 ms response time, QHD resolution, ra NVIDIA G-Sync support cha."
Boat Rockerz 550 headphones available cha?,"Boat Rockerz 550 ek wireless over-ear headphones ho. Isko price 2500 ho. Yesma 20 ghanta battery life, 50 mm drivers, ra Bluetooth 5.0 support cha. Hami sanga yo headphones stock ma available cha.","Boat Rockerz 550 stock ma available cha. Yesko price 2500 ho. Yesma 20 ghanta battery life, 50 mm drivers, ra Bluetooth 5.0 support cha."
Lenovo ThinkPad X1 Carbon laptop ko features ke ho?,"Lenovo ThinkPad X1 Carbon ek business-class ultrabook ho. Yesko price 180000 ho. Yesma Intel i7 processor, 16 GB RAM, 1 TB SSD, ra 14-inch 4K display available cha.","Lenovo ThinkPad X1 Carbon ko features ho: Intel i7 processor, 16 GB RAM, 1 TB SSD, ra 14-inch 4K display."
Anker PowerCore 20000 power bank ko price kati ho?,"Anker PowerCore 20000 ek high-capacity power bank ho. Yesko price 3000 ho. Yesma 20000 mAh capacity, fast charging support, ra dual USB ports available cha.","Anker PowerCore 20000 ko price 3000 ho. Yesma 20000 mAh capacity, fast charging support, ra dual USB ports cha."
Canon EOS 90D camera ko price kati ho?,"Canon EOS 90D ek advanced DSLR camera ho. Yesko price 170000 ho. Yesma 32.5 MP APS-C sensor, 4K video recording, Dual Pixel autofocus, ra vari-angle touchscreen display cha.","Canon EOS 90D ko price 170000 ho. Yesma 32.5 MP APS-C sensor, 4K video recording, Dual Pixel autofocus, ra vari-angle touchscreen display cha."
Samsung Galaxy Buds 2 ko features ke ho?,"Samsung Galaxy Buds 2 ek lightweight wireless earbuds ho. Yesko price 15000 ho. Yesma Active Noise Cancellation, customizable sound profiles, ra wireless charging support available cha.","Samsung Galaxy Buds 2 ko features ho: Active Noise Cancellation, customizable sound profiles, ra wireless charging support."
LG 55-inch OLED TV available cha?,"LG 55-inch OLED TV ek premium television ho. Isko price 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha. Hami sanga yo TV stock ma available cha.","LG 55-inch OLED TV stock ma available cha. Yesko price 200000 ho. Yesma OLED display, Dolby Vision, AI-powered 4K upscaling, ra built-in Alexa support cha."
Amazfit GTS 2 Mini smartwatch ko barema jankari dinu?,"Amazfit GTS 2 Mini ek budget-friendly smartwatch ho. Yesko price 10000 ho. Yesma AMOLED display, SpO2 monitoring, 14 din battery life, ra 70+ sports modes available cha.","Amazfit GTS 2 Mini ko price 10000 ho. Yesma AMOLED display, SpO2 monitoring, 14 din battery life, ra 70+ sports modes cha."
HP Omen 16 gaming laptop ko features ke ho?,"HP Omen 16 ek high-end gaming laptop ho. Yesko price 150000 ho. Yesma Intel i7 processor, NVIDIA RTX 3070 graphics, 16 GB RAM, 1 TB SSD, ra 16.1-inch QHD display cha.","HP Omen 16 ko features ho: Intel i7 processor, NVIDIA RTX 3070 graphics, 16 GB RAM, 1 TB SSD, ra 16.1-inch QHD display."
Realme Narzo 50A smartphone ko price kati ho?,"Realme Narzo 50A ek budget smartphone ho. Yesko price 18000 ho. Yesma MediaTek Helio G85 processor, 50 MP camera, 6000 mAh battery, ra 6.5-inch HD+ display cha.","Realme Narzo 50A ko price 18000 ho. Yesma MediaTek Helio G85 processor, 50 MP camera, 6000 mAh battery, ra 6.5-inch HD+ display cha."
JBL Flip 6 Bluetooth speaker ko barema jankari dinu?,"JBL Flip 6 ek portable Bluetooth speaker ho. Isko price 15000 ho. Yesma IP67 water-resistant design, 12 ghanta playback time, ra powerful bass radiator cha.","JBL Flip 6 ko price 15000 ho. Yesma IP67 water-resistant design, 12 ghanta playback time, ra powerful bass radiator cha."
Acer Nitro XV272U monitor ko features ke ho?,"Acer Nitro XV272U ek gaming monitor ho. Yesko price 60000 ho. Yesma 27-inch QHD display, 165 Hz refresh rate, HDR400 support, ra AMD FreeSync cha.","Acer Nitro XV272U ko features ho: 27-inch QHD display, 165 Hz refresh rate, HDR400 support, ra AMD FreeSync."
Dyson V8 Absolute vacuum cleaner ko price kati ho?,"Dyson V8 Absolute ek cordless vacuum cleaner ho. Yesko price 75000 ho. Yesma powerful suction, HEPA filter, ra 40 minutes runtime available cha.","Dyson V8 Absolute ko price 75000 ho. Yesma powerful suction, HEPA filter, ra 40 minutes runtime available cha."
Logitech G435 gaming headset ko barema jankari dinu?,"Logitech G435 ek lightweight gaming headset ho. Isko price 8000 ho. Yesma Bluetooth connectivity, 40 mm drivers, ra 18 ghanta battery life available cha.","Logitech G435 ko price 8000 ho. Yesma Bluetooth connectivity, 40 mm drivers, ra 18 ghanta battery life cha."
Samsung 970 EVO Plus SSD ko price kati ho?,"Samsung 970 EVO Plus ek high-performance SSD ho. Isko price 20000 ho. Yesma 1 TB storage capacity, NVMe interface, ra 3500 MB/s read speed available cha.","Samsung 970 EVO Plus ko price 20000 ho. Yesma 1 TB storage capacity, NVMe interface, ra 3500 MB/s read speed cha."
Mi Smart Band 7 ko features ke ho?,"Mi Smart Band 7 ek fitness tracker ho. Yesko price 5000 ho. Yesma AMOLED display, SpO2 monitoring, 14 din battery life, ra 120+ fitness modes available cha.","Mi Smart Band 7 ko features ho: AMOLED display, SpO2 monitoring, 14 din battery life, ra 120+ fitness modes."
Corsair K70 RGB keyboard ko price kati ho?,"Corsair K70 RGB ek mechanical gaming keyboard ho. Isko price 18000 ho. Yesma Cherry MX switches, dynamic RGB lighting, ra aluminum frame cha.","Corsair K70 RGB ko price 18000 ho. Yesma Cherry MX switches, dynamic RGB lighting, ra aluminum frame cha."
Sony PS5 ko barema jankari dinu?,"Sony PS5 ek next-gen gaming console ho. Yesko price 80000 ho. Yesma ultra-fast SSD, ray tracing, 4K gaming support, ra haptic feedback controller cha.","Sony PS5 ko price 80000 ho. Yesma ultra-fast SSD, ray tracing, 4K gaming support, ra haptic feedback controller cha."
Apple MacBook Air M2 ko features ke ho?,"Apple MacBook Air M2 ek premium lightweight laptop ho. Yesko price 165000 ho. Yesma Apple M2 chip, 8-core GPU, 13.6-inch Retina display, ra 18 ghanta battery life cha.","Apple MacBook Air M2 ko features ho: Apple M2 chip, 8-core GPU, 13.6-inch Retina display, ra 18 ghanta battery life."
Dell XPS 13 laptop ko price kati ho?,"Dell XPS 13 ek premium ultrabook ho. Yesko price 140000 ho. Yesma Intel i7 processor, 16 GB RAM, 512 GB SSD, ra 13.4-inch InfinityEdge display available cha.","Dell XPS 13 ko price 140000 ho. Yesma Intel i7 processor, 16 GB RAM, 512 GB SSD, ra 13.4-inch InfinityEdge display available cha."
Google Nest Hub 2nd Gen ko barema jankari dinu?,"Google Nest Hub 2nd Gen ek smart display ho. Isko price 12000 ho. Yesma 7-inch touchscreen, Google Assistant, smart home controls, ra sleep tracking feature available cha.","Google Nest Hub 2nd Gen ko price 12000 ho. Yesma 7-inch touchscreen, Google Assistant, smart home controls, ra sleep tracking feature cha."
Seagate Expansion 2TB external hard drive ko price kati ho?,"Seagate Expansion 2TB ek reliable external hard drive ho. Yesko price 8000 ho. Yesma USB 3.0 connectivity, compact design, ra plug-and-play compatibility cha.","Seagate Expansion 2TB ko price 8000 ho. Yesma USB 3.0 connectivity, compact design, ra plug-and-play compatibility cha."
Bose QuietComfort 45 headphones ko features ke ho?,"Bose QuietComfort 45 ek premium noise-canceling headphone ho. Yesko price 45000 ho. Yesma advanced noise cancellation, 24 ghanta battery life, ra high-fidelity audio available cha.","Bose QuietComfort 45 ko features ho: advanced noise cancellation, 24 ghanta battery life, ra high-fidelity audio."
Sony WH-1000XM5 headphones ko price kati ho?,"Sony WH-1000XM5 ek premium wireless headphone ho. Isko price 55000 ho. Yesma industry-leading noise cancellation, 30 ghanta battery life, ra adaptive sound control cha.","Sony WH-1000XM5 ko price 55000 ho. Yesma industry-leading noise cancellation, 30 ghanta battery life, ra adaptive sound control cha."
Samsung 32-inch Smart Monitor M7 available cha?,"Samsung Smart Monitor M7 ek multipurpose monitor ho. Yesko price 50000 ho. Yesma 4K resolution, built-in apps, remote control, ra USB-C connectivity cha. Hami sanga yo monitor stock ma available cha.","Samsung 32-inch Smart Monitor M7 stock ma available cha. Yesko price 50000 ho. Yesma 4K resolution, built-in apps, remote control, ra USB-C connectivity cha."
Razer BlackWidow V3 Pro keyboard ko barema jankari dinu?,"Razer BlackWidow V3 Pro ek wireless mechanical gaming keyboard ho. Isko price 20000 ho. Yesma Razer Green switches, RGB lighting, ra ergonomic wrist rest cha.","Razer BlackWidow V3 Pro ko price 20000 ho. Yesma Razer Green switches, RGB lighting, ra ergonomic wrist rest cha."
Logitech MX Master 3S mouse ko price kati ho?,"Logitech MX Master 3S ek advanced wireless mouse ho. Yesko price 15000 ho. Yesma MagSpeed scroll wheel, customizable buttons, ra USB-C charging cha.","Logitech MX Master 3S ko price 15000 ho. Yesma MagSpeed scroll wheel, customizable buttons, ra USB-C charging cha."
Xiaomi Mi Air Purifier 3 ko features ke ho?,"Xiaomi Mi Air Purifier 3 ek affordable air purifier ho. Yesko price 15000 ho. Yesma HEPA filter, OLED touch display, ra 380 cubic meter per hour CADR rating cha.","Xiaomi Mi Air Purifier 3 ko features ho: HEPA filter, OLED touch display, ra 380 cubic meter per hour CADR rating."
Apple iPad Air 5th Gen ko price kati ho?,"Apple iPad Air 5th Gen ek lightweight tablet ho. Yesko price 95000 ho. Yesma M1 chip, 10.9-inch Liquid Retina display, 5G connectivity, ra Apple Pencil 2 support cha.","Apple iPad Air 5th Gen ko price 95000 ho. Yesma M1 chip, 10.9-inch Liquid Retina display, 5G connectivity, ra Apple Pencil 2 support cha."
HyperX Cloud II gaming headset available cha?,"HyperX Cloud II ek popular gaming headset ho. Isko price 12000 ho. Yesma 7.1 surround sound, memory foam ear cushions, ra durable aluminum frame cha. Hami sanga yo headset stock ma available cha.","HyperX Cloud II stock ma available cha. Yesko price 12000 ho. Yesma 7.1 surround sound, memory foam ear cushions, ra durable aluminum frame cha."
Samsung Galaxy Z Flip 4 smartphone ko barema jankari dinu?,"Samsung Galaxy Z Flip 4 ek foldable smartphone ho. Yesko price 135000 ho. Yesma Snapdragon 8+ Gen 1 processor, 6.7-inch foldable AMOLED display, ra 3700 mAh battery cha.","Samsung Galaxy Z Flip 4 ko price 135000 ho. Yesma Snapdragon 8+ Gen 1 processor, 6.7-inch foldable AMOLED display, ra 3700 mAh battery cha."
Dell UltraSharp 34-inch monitor ko price kati ho?,"Dell UltraSharp 34-inch monitor ek ultra-wide professional monitor ho. Yesko price 80000 ho. Yesma QHD resolution, USB-C connectivity, ra 99% sRGB color accuracy cha.","Dell UltraSharp 34-inch monitor ko price 80000 ho. Yesma QHD resolution, USB-C connectivity, ra 99% sRGB color accuracy cha."
GoPro HERO 11 action camera ko features ke ho?,"GoPro HERO 11 ek rugged action camera ho. Yesko price 70000 ho. Yesma 5.3K video recording, HyperSmooth 5.0 stabilization, ra waterproof design cha.","GoPro HERO 11 ko features ho: 5.3K video recording, HyperSmooth 5.0 stabilization, ra waterproof design."
Echo Dot 5th Gen ko barema jankari dinu?,"Echo Dot 5th Gen ek compact smart speaker ho. Isko price 7000 ho. Yesma Alexa voice assistant, improved sound quality, ra smart home compatibility cha.","Echo Dot 5th Gen ko price 7000 ho. Yesma Alexa voice assistant, improved sound quality, ra smart home compatibility cha."
