,text,intent
90, mero order ko status ke ho,order_status_inquiry
91, order ko status janna man cha,order_status_inquiry
92, malai mero order ko barema vanidinu,order_status_inquiry
93, mero order track garne kaha aako cha,order_status_inquiry
94, malai mero order ko barema vanidinu,order_status_inquiry
95, mero order kaile samma pauchu,order_status_inquiry
96, mero order ko jankari ke ho,order_status_inquiry
97, malai saman ko barema janna man lagyo,order_status_inquiry
98, mero order kaha cha bujhna man lagyo,order_status_inquiry
99, mero order ko jankari dinu status,order_status_inquiry
100, kasto payment accept garnu huncha,payment_method
101, paisa ke baata tirne,payment_method
102, payment ke baata dine,payment_method
103, paisa ke baata tirna milcha,payment_method
104, payment method ke cha,payment_method
105, kun kun payment accept garnu huncha,payment_method
106, ke baata pay garna milcha,payment_method
107, payement method ke baata garne,payment_method
108, kasari pay garne,payment_method
109, kasari payment garne,payment_method
110, kasari pay garna milcha,payment_method
111, kasari payment garna milcha,payment_method
112, payment garne method ke ke cha,payment_method
113, kasari pay garne ho,payment_method
114, pay garna kun kun method accept garnu huncha,payment_method
115, paisa tirna kun kun tarika cha,payment_method
116, pay garna kun kun method cha,payment_method
117, paisa tirna kun method available cha,payment_method
118, kun payment method available cha,payment_method
119, payment kun tarika baata garne,payment_method
120, pay garne kun tarika cha,payment_method
121, pay kasari garne ho,payment_method
122, payment garna kun tarika baata garne,payment_method
123, ma kun payment baata paisa tirna sakchu,payment_method
124, kasari payment garna sakincha,payment_method
125, paisa ke baata tirna sakincha,payment_method
126, pay kasari garne,payment_method
127, payment garna kun kun method use garna sakincha,payment_method
128, paisa tirna kun tarika use garne ho,payment_method
129, paiasa ke baata tirne ho,payment_method
130, paisa tirne method ke ke cha,payment_method
131, paisa ke baata tirne,payment_method
132, ma ke baata paisa tirna sakchu,payment_method
133, ma ke baata payment garna sakchu,payment_method
134, pay garne method kun cha,payment_method
135, kasari pay garne,payment_method
136, pay garne kun tarika cha,payment_method
137, kasari pay garne,payment_method
138, pay garna ke use garna sakchu,payment_method
139, ma ke ke tarika baata paisa tirna sakchu,payment_method
140, ma ke ke tarika baata paisa pay garna sakchu,payment_method
141, ma kun tarika baata paisa tirna sakchu,payment_method
142, paisa tirne method ke ke ho,payment_method
143, paisa kun kun method baata tirne,payment_method
144, payment garne tirka ke ke cha,payment_method
145, pay garne method haru ke ke cha,payment_method
146, pay garne method ke ke ho,payment_method
147, payment garna kun tarika baata garne,payment_method
148, malai payment garna kun method cha,payment_method
149, payment garna paisa tirna kun tarika ho,payment_method
150, store ma kun product available cha,product_inquiry
151, pasal ma kun kun product rakhnu vako cha,product_inquiry
152, kun kun product store ma cha,product_inquiry
153, kasto kasto saman store ma available cha,product_inquiry
154, store ma kun saman cha,product_inquiry
155, pasal ma kun saman paincha,product_inquiry
156, store ma kun saman bechna rakhnu vako cha,product_inquiry
157, store ma kun kun saman cha,product_inquiry
158, kun kun saman available cha store ma,product_inquiry
159, kun kun product rakhnu vako cha store ma,product_inquiry
160, pasal ma kun kun product rakhnu vako cha,product_inquiry
161, kun kun product available cha store ma,product_inquiry
162, kun product available cha store ma,product_inquiry
163, kun saman bechnu huncha store ma,product_inquiry
164, kun kun saman store ma available cha,product_inquiry
165, kun product sell garnu huncha bujhna man cha,product_inquiry
166, store ma kun kun saman available cha,product_inquiry
167, kasto product bechnu huncha,product_inquiry
168, kun kun product available cha,product_inquiry
169, store ma kasto saman available cha,product_inquiry
170, kun product haru available cha store ma,product_inquiry
171, malai Samsung Galaxy ko mobile dekhaunu,product_inquiry
172, tapai ko store ma Redmi Note 9 ko mobile cha,product_inquiry
173, malai Redmi Note 9 ko mobile chaiyeko cha,product_inquiry
174, ke tapaiko pasal ma Iphone 11 ko mobile cha,product_inquiry
175, Samsung Galaxy ra Iphone 11 ko mobile herna aako,product_inquiry
176, Oppo ko mobile cha ki xaina,product_inquiry
177, malai mobile ko barema jankari pauna manlagyo,product_inquiry
178, ke tapai laptop bechnu hunxa,product_inquiry
179, tapai calculator rakhnu hunxa,product_inquiry
180, malai laptop ra watch kinna man cha,product_inquiry
181, laptop ko price kati ho,product_inquiry
182, malai Macbook Pro chaiyeko cha,product_inquiry
183, Macbook Pro ko price kati ho,product_inquiry
184, Macbook laptop rakhnu vako cha,product_inquiry
185, malai Vivo ko mobile chaiyeko cha,product_inquiry
186, calculator rakhnu vako cha ki xaina,product_inquiry
187, Sony ko TV available cha,product_inquiry
188, TV haru kun kun brand ma available cha,product_inquiry
189, Redmi ko price kati ho,product_inquiry
190, mobile haru kun kun xan,product_inquiry
191, Casio ko calculator lai kati parxa,product_inquiry
192, calculator Casio brand ma available cha ki xaina,product_inquiry
193, calculator kun kun brand ko cha,product_inquiry
194, Casio ko calculator cha ki xaina,product_inquiry
195, malai Redmi mobile kinnu cha,product_inquiry
196, Samsung ko mobile kun kun cha,product_inquiry
197, Oppo ra Samsung ko mobile dekhaunu,product_inquiry
198, Xiaomi ko Redmi mobile cha ki xaina,product_inquiry
199, Xiaomi ra Samsung ko mobile lina aako,product_inquiry
200, Oppo ra Xiaomi ko mobile lina aako,product_inquiry
