category,system,instruction,context,question,response
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The gentle sound of the river flowing over the smooth pebbles, combined with the chirping of birds in the trees above, created a peaceful and tranquil ambiance.","Nadi ko dhulo dhulo dhunga haru ma bagera jaane halka awaj, mathi rukh haru ma chara haru ko chahachahahat sangai, shant ra shaant vatavaran banayo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"As the storm approached, dark clouds gathered in the sky, and the distant sound of thunder echoed, warning us to take shelter before the rain began.","Jaba aandhi tufaan aune thauma thiyo, aakash ma kaala baadal haru jamma bhae ra tadako bajiraheko awaj gunjiyo, hame lai pani suru hunu agadi ashraya lena ko lagi chetana diyeko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The little boy ran joyfully through the meadow, chasing butterflies that fluttered around the colorful flowers swaying gently in the breeze.","Sano ketaa khusi hunda ghans ma dodiraheko thiyo, rangichangi phool haru ko bich ghumiraheka putali haru ko pachi lagda, halka havo ma hildai."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The bustling city square was alive with the energy of street performers, food vendors, and curious tourists capturing every moment on their cameras.","Byast shaharko chautari bato ka pradarshan garne manche, khana ko dokan haru ra jigyasa purna paryaatak haru kamera ma pal samet chodne anubhav gariraheko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The teacher patiently explained the complex problem to the students, breaking it down into smaller parts so that everyone could understand easily.","Guruji le dherai dhairya sanga samasya lai bidyarthi haru lai bujaunu bhae, thulo kura lai saano saano bhaag ma todnu bhaera sabai le sajilo sanga bujne garyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"In the calm of the evening, the setting sun painted the horizon in hues of orange and pink, while the gentle rustling of leaves filled the air with a soothing melody.","Shaam ko shaanti ma, doobda surya le akash ko kinara ma sunahri ra gulabi rang lagaunu bhae, rukh ko pat haru ko halka halline awaj le man shital banayo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The mother carefully packed the lunchbox for her children, adding fruits, sandwiches, and a small treat to ensure they had enough energy for the day.","Aama le dhanai sanga bacha haru ko lunchbox pack garnu bhae, maahak le phalful, sandwich ra ek sano mithai rakhera din bhar ko lagi taakat milos bhani sochera."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The ancient ruins stood silently in the middle of the desert, their weathered stones telling stories of a civilization long forgotten by history.","Puraano naas bhayeko sthaan registan ko bich ma chupchaap ubhiraheko thiyo, jasko puraano dhunga haru le ek puraano sanskriti ko katha bhool bhayeko kahani suniraheko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"As the train sped through the countryside, I saw vast fields of golden wheat swaying in the breeze, with farmers working tirelessly under the warm sun.","Jaba rail gaadi gramin kshetra ma chhito gati ma gayeko thiyo, maile sunahri gahun ko khet haru havo ma halliraheko dekhe, jun ma kisan haru taato gham muni bina roknu kaam gardai thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The magnificent palace stood tall at the edge of the lake, its reflection shimmering in the water as birds flew gracefully overhead.","Aakarshak mahal taal ko kinar ma uchcha bhayera ubhiraheko thiyo, isko pratinidhi paani ma chamkiraheko thiyo ra chara haru mathi ramro sanga udaudai thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The lively festival was filled with people dressed in vibrant colors, traditional music echoing in the background, and delicious aromas of food filling the air.","Jeevit utsav manche haru le rangichangi rang ko luga lagako thiyo, paraampraagat sangeet pichhadi gunjiraheko thiyo ra mitho khana ko sugandha hawa bharieko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The tall trees in the forest formed a natural canopy, their leaves filtering the sunlight and casting dappled shadows on the forest floor.","Jungle ko lamo rukh haru le prakritik chhano banayeko thiyo, tyo pat haru surya ko kira chhanthe ra jungle ko jamin ma chhaya haliraheko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The chef worked with precision in the bustling kitchen, carefully plating each dish to perfection while the staff hurried to keep up with the orders.","Chef le jyada chhanotta ko sath bheed bharieko kitchen ma kaam garnu bhae, ek ek dish pura tariqa le sajayera rakhera staff le orders purna garna taad tala bhagera kaam gariraheko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The bright city lights sparkled like stars, reflecting off the glass windows of tall buildings as the hum of activity continued late into the night.","Shaharko ujyaalo batti tara jasto chamkiraheko thiyo, lamo bhawan haru ko sheesha ko jhyal haru ma pratinidhi bhaera, ra raat ma ni byastata ka awaj haru chaldai thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The young artist painted a breathtaking landscape, blending vibrant colors with gentle strokes to create a masterpiece that captured the beauty of nature.","Tyo jawan kalakar le ek ramro drishya paint garnu bhae, jun ma rangichangi rang haru mishaera naram stroke le ek adbhut karya banayeko thiyo junle prakritiko sundarta jivid banayo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"As the children laughed and played in the park, their joyful voices echoed through the trees, filling the area with happiness and energy.","Jaba bachha haru park ma hasi ra kheliraheko thiyo, unko khushi le bharieko awaj rukh haru ma gunjiraheko thiyo, jasko leyo chetra khushi ra urja le bharieko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The moonlit path through the forest was enchanting, with the soft glow of the moonlight casting mysterious shadows on the trail.","Jungle ma chaandni batoh jadu ko jasto thiyo, jaha chaandni ko naram ujyaalo le bato ma rahasya janmaune chhaya haleko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The scientist carefully adjusted the microscope, focusing on the tiny organism that held the potential to unlock important medical breakthroughs.","Scientist le dhyan sanga microscope milai, sano jeev lai focus gare junle mahatvapurna medical khoj haru ko samadhan din sakthiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The group of hikers climbed steadily up the rocky trail, their determination evident as they encouraged one another to keep moving toward the mountain's peak.","Hiker haruko samuh chattanle bharieko bato mathi lagataar chadhdai thiye, unko dridha ichchha dekhinchha jaba ek arka lai pahad ko chuchuro samma pugna uthsaahit gardai thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The elderly woman sat by the window, knitting a colorful sweater while gazing at the children playing happily in the garden outside.","Buddhi mahila jhyal ko chheuma basera, rangichangi sweater bunaudai thiin ra baha n garden ma khusi sanga kheliraheka bachha haru lai herdai thiin."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"As the airplane ascended higher into the sky, the passengers looked out of the windows to admire the breathtaking view of the clouds and the horizon.","Jaba hawai jahaj akash ma mathi mathi udirakheko thiyo, yatri haru jhyal ma baaher herera badal ra aakash ko kinara ko sundar drishya ko prashansa gardai thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,The teacherâ€™s words of encouragement inspired the students to work harder and believe in their ability to achieve their dreams.,Guruji ko utsaha ko sabda haru le bidyarthi haru lai mahnat garna ra unko sapana pura garna ko lagi afno kshamata ma biswas garnu uthsahit garyo.
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The young couple strolled along the beach, their footprints left behind in the wet sand as the waves gently washed ashore.","Juwan jodi samundra ko chheuma hidiraheko thiyo, uniharuko kadam haru geela baluwa ma chhodi jaba tarang haru naram sanga kinara ma lagdai thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The scent of freshly bloomed flowers filled the garden, attracting bees and butterflies that danced from one blossom to the next.","Naya fulyeko fulharu ko sugandha garden bharieko thiyo, jahaan mauri ra putali haru ek phul bata arkoma naachdai aakarshit bhae."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The chef skillfully flipped the vegetables in the sizzling pan, the aroma of spices filling the room as everyone watched in awe.","Chef le chhanotta ko sath tadako tawa ma tarakari haru palti diyera banaunda, masala ko sugandha kotha bharieko thiyo ra sabai manchele adbhut sanga heriraheko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The children eagerly opened their presents on Christmas morning, their faces lighting up with excitement and joy as they discovered their gifts.","Bachha haru utsukta sanga Christmas ko bihana afno upahar kholiraheko thiye, unko mukha haru khushi ra utsaha le chamkiraheko thiyo jab uniharu upahar dekhdai thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The rain fell steadily on the city streets, creating puddles that reflected the vibrant neon lights of the bustling shops and passing cars.","Pani lagatar shaharko galli haru ma pareko thiyo, junle bheer bhaireko pasal haru ra jada gaadi haru ko rangichangi neon batti haru ko pratinidhi banako thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The musician poured his heart into the performance, each note resonating deeply with the audience and leaving them in a state of awe.","Sangeetkar le afno man ra atma ko pure samarpan gari pradarshan ma lagaye, pratek sur sunne haru ko man ma gahiro asar paryo ra sabai adbhut ma basera sunirahe."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The majestic eagle soared high above the valley, its sharp eyes scanning the ground below for any signs of movement among the dense vegetation.","Shrestha giddha upatyaka ko mathi uchcha udera, usko teekshna aankha tala ko ghaans ko beech ma jindagi ko chalphal khojda lagiraheko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"As the campfire crackled under the starry sky, the group of friends shared stories of their adventures, their laughter echoing in the still night.","Tara bharieko raat ma campfire jhaskiraheko thiyo, saathi haru ko samuha afno romanchak yatra ko katha sunirakheko, unko hasilo awaj raat ko shaanti ma gunjiraheko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The towering waves crashed against the cliffs, sending sprays of water high into the air and creating a thunderous sound that could be heard for miles.","Uchcha tarang haru chattan haru ma thaadiraheko, jasko paani ko chhita mathi ko akash ma udai thiyo ra jasko gorra awaj mil haru samma sunna sakincha."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The elderly storyteller captivated the children with tales of mythical creatures and heroic deeds, painting vivid images in their minds with every word.","Buddha kathakar le bachha haru lai kalpana ko prani ra birata ko kaam ko katha sunayera manohar banaye, jasko pratek sabda uniharuko mann ma jivanta tasbir banai."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The dense fog blanketed the mountain trail, making it difficult to see, as the hikers cautiously navigated their way to the summit.","Gahiro kuhiro le pahad ko bato lai chhaayeko thiyo, junle dekhnai garo banayo, jaba hiker haru sambhalera chuchuro samma pugna bato herda thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The young artist spent hours perfecting every detail of the painting, carefully blending colors to capture the beauty of the landscape on the canvas.","Jawan kalakar le ghanata haru lagayera painting ko pratek bibaran siddhyo, rang haru milayera drishya ko sundarta canvas ma samjhauda."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The bustling marketplace was alive with the sounds of bargaining vendors, chattering customers, and the occasional laughter of children running through the crowded lanes.","Byasta bajaar dokandar haru ko mol tol garne awaj, grahak haru ko kura kaani ra bheed bhaireko bato ma kheliraheka bachha haru ko hasilo awaj le jeevit thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The tranquil lake mirrored the surrounding mountains perfectly, its glassy surface disturbed only by the gentle ripples caused by a passing breeze.","Shaant taal le cheuma ko pahad haru ko pratinidhi purai samparka ma garya, isko sheesajasto sattha ma naram havo ko karan le halka halchal matrai thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The chef meticulously arranged the dessert plate, adding a final drizzle of chocolate sauce and a sprinkle of powdered sugar before presenting it to the eagerly waiting customer.","Chef le mithai ko thaal manojanukula sajayera, antim ma chocolate ko sauce chara ra chini ko dhulo chhidkayera utsuk grahak lai prasthut garnu bhae."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The sun dipped below the horizon, casting a warm golden glow over the sea as the waves gently lapped against the shore.","Surya kinara muni doobera, samundra mathi sunahri kira halera tarang haru halka kinara ma laagdai thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The sprawling city came alive at night with shimmering lights that adorned the buildings, busy streets filled with vehicles, and people strolling leisurely along the sidewalks.","Bistarit sahar raat ma chamkile batti haru le jivit baneko, jasko bhawan haru sajhaera, bheer bhaireko galli haru gaadi haru le bharieko ra manche haru dhilo dhilo footpath ma hidiraheka thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The adventurous family set out early in the morning to explore the dense forest, equipped with maps, backpacks, and a spirit of curiosity.","Romanchak parivar bihana chadai gahirai jungle ko khoj garnu niskera, jaha mapa, jhola ra utshukta ko bhaaw liyejasto thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The towering cathedral, with its intricate carvings and stained glass windows, stood as a testament to the craftsmanship and devotion of the builders.","Uchcha gumbad jasko soojhaipurna nuksha ra rangin sheesha jhyalko kaam, kalakar ra nirmata ko bhakti ko pratik jasto ubhieko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"As the festival parade made its way through the crowded streets, people lined the sidewalks, cheering and waving flags in celebration.","Jaba utsav ko julus bheer bhaireko galli haru bata jancha, manche haru footpath ma chheuma laagera jhanda jhanda farkaudai ra khushi vyakt gardai thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The serene garden was filled with blooming flowers, fluttering butterflies, and the soothing sound of a bubbling fountain in the center.","Shaant bagaincha fulyeko fulharu, udiraheka putali haru ra madhya ma paani ko jharna ko shital awaj le bharieko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The elderly couple enjoyed the golden sunset from their balcony, sipping tea as they reminisced about the memories of their youthful days.","Buddha jodi afno balkoni ma sunahri suryasta herda chiya piudai, jawani ka din haruko yaad gariraheko thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The artist sat in the middle of the bustling plaza, sketching the lively scenes of vendors selling their wares and children playing nearby.","Kalakar bheer bhaireko chaur ma basera, dokandar haru uniharuko saman bechdai ra najik kheliraheka bachha haruko jeevit drishya chitra banaundai thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The team of scientists worked tirelessly in the laboratory, analyzing data and conducting experiments to uncover the mysteries of the universe.","Bhautik shastri haruko team prayogshala ma bina thakai kaam gardai, data analysis garna ra anushandhan garnu universe ko rahasya kholna ko lagi byast thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The little girl eagerly helped her grandmother bake cookies, carefully measuring ingredients and mixing them with a big wooden spoon.","Sano keti usko hajurama lai cookie pakauna madat gardai utsukthi, bibhinna saman napera ra ek thulo katha ko chamchha le milaundai thi."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The historic castle, perched on a hill, overlooked the bustling town below, its ancient walls whispering tales of a glorious past.","Itihasik durga, ek pahaad ma rakheko, tala ko bheer bhaireko sahar lai herthyo, ra isko purano bhitta haru ek sunder itihas ko katha sunairaheko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The family decided to spend the weekend at a nearby lake, where they could relax, enjoy a picnic, and go boating together under the clear blue sky.","Parivar le najik ko taal ma haptaanta bitaaune nirdai garyo, jaha uniharu aram garna, picnic manaauna ra nillo akash muni saath ma nauka chadna sakne thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The construction workers started their day early in the morning, unloading heavy materials and preparing the site for the new building project.",Nirman kaam garne manche haru bihana chadai apno din suru garda bhari saman orliera ra naya building banauko lagi jagga tayar gardai thiye.
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The school organized a sports event where students from different classes participated in races, football matches, and other fun games.","School le ek khel karyakram ayojana garyo jaha bibhinna class ka bidyarthi haru daud, football khel ra aru ramailo game ma bhaag liyera thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The train station was crowded with passengers carrying luggage, rushing to catch their trains, and saying goodbye to their family members.","Railway station yatri haru ko bheed le bharieko thiyo, jo saman boki afno train pakadna hida ra family lai bida gardai thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The farmers worked together in the field, planting seeds and watering the crops, hoping for a good harvest in the coming season.","Kisaan haru khet ma ek saath kaam gardai, biu ropne ra bali lai paani haldai, aune mausam ma ramro fasal ko aasha gardai thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The family celebrated the festival by decorating their house with lights, preparing delicious food, and inviting their friends and neighbors to join the fun.","Parivaar le chad manayera ghar batti haru le sajayera, mitho khana banayera ra saathi ra chimek haru lai ramailo ma sametne nimto diye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The bus ride to the mountain village was long and bumpy, but the beautiful views of the valley and rivers made it worth the journey.","Pahaad ko gau samma bus ko yatra lambai ra jarjar thiyo, tara upatyaka ra nadi ko ramro drishya le yatra laai maan parne banayo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The shopkeeper arranged the fruits neatly on the counter, calling out to customers and offering them the freshest produce at a good price.","Pasale le falful haru ramro sanga counter ma rakhera, grahak haru lai bolaayera sabai bhanda taja saman ramro mulya ma dinthyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The children spent their afternoon playing hide and seek in the park, climbing trees and laughing as they ran around.","Bachha haru le aafno diuso park ma lukamari khelera, rukh ma chadera ra hasdai daudi raheko sama bitaye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,The small roadside cafÃ© was filled with people enjoying their tea and snacks while chatting with friends and watching the busy road outside.,"Sano bato ko cafÃ© manche haru le chiya ra khaja khayera, saathi haru sanga kura gardai ra bahira bheer bhaeko bato herera bharieko thiyo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"During the summer vacation, the group of friends decided to explore the countryside. They rented bicycles and spent the whole day riding through winding paths, crossing small wooden bridges, and stopping occasionally to enjoy the peaceful scenery of green fields and distant hills.","Garmi ko bida ma, saathi haru ko samuha le gau ghumne nirdai garyo. Uniharu le cycle bhada ma liye ra purai din ghumaune bato ma cycle chalayera, sano kather ko pool parera ra kahi kahi parkhera hariyo khet ra taadako pahad ko shaant drishya herera bitaye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The large family gathered at their ancestral home to celebrate a special occasion. They cooked a variety of traditional dishes together in the big kitchen, shared stories about their childhood, and took photos in the garden to remember the happy day.","Thulo parivaar afno purano ghar ma ek vishesh mauka manaauna jamma bhae. Uniharu thulo bhansa ghar ma saath ma bibhinna paramparik khana banaye, bachpan ko katha haru sathmaa share garda ra bagaincha ma photo khichera khushi ko din lai samjhana rakhe."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The young man started his first day at work with excitement and a little nervousness. He met his new colleagues, learned about his responsibilities, and spent the day organizing his workspace and getting familiar with the office environment.","Jawan manche le apno pahilo din kaam excitement ra ali ali nerwasta sanga suru garyo. Usle apna naya sathiharulai bheto, afno jimmedari haru sikyo ra din workspace sajayera ra office ko pariwesh sanga chinari banayera bitayo."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The annual school fair was an exciting event where students displayed their projects, played fun games, and participated in different competitions like singing and dancing. Parents and teachers walked around, appreciating the hard work of the students and enjoying the cheerful atmosphere.","Barsaik school fair ek ramailo karyakram thiyo, jaha bidyarthi haru le apna project haru dekhaaye, ramailo game kheli ra gaanu ra nachne jasto bibhinna pratiyogita haru ma bhaag liye. Abhibhabhak ra teacher haru hidda, bidyarthi haru ko mehnat ko sarahna gardai ra ramailo mahol ko aanand le gardai thiye."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The family road trip to the mountains turned into an unforgettable adventure. They drove through winding roads, stopped at scenic viewpoints to take photos, and enjoyed the cool mountain breeze. At night, they stayed in a cozy cabin and shared stories around the fireplace.","Parivaar ko mountain road trip ek smarnia yatra ma pariwartan bho. Uniharu ghumaune bato ma gaadi chalayera, drishya herna ko lagi viewpoint ma rokhera ra chiso havo ko maja line. Raat ma uniharu ek naramro ghar ma basera, aago ko najik katha haru sune."
translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

","Translate the given text from English language to Roman Nepali language.
",,"The new park in the neighborhood quickly became a favorite spot for families and children. It had colorful swings, a wide walking track, and plenty of trees that provided shade. On weekends, families came with their picnic baskets and enjoyed relaxing under the open sky.","Chimek ko naya park chito nai parivaar ra bachha haru ko manparne thau banayo. Tyo park ma rangichangi jhula haru, ek chaur bato ra dherai rukh haru thiye junle chhaya dinthyo. Haptantama, parivaar haru picnic basket liye ra khulla aakash muni aram garna aauthyo."
