category,context,question,response
RAG,"Hami khalti le payment accept garxau sathai esewa, card, ra mobile banking pani support garxau.",khalti le pay garna milcha?,Tapai khalti bata sajilo tarikale payment garna saknu hunxa.
RAG,Hami sabai mobile banking options accept garxau.,mobile banking le pay garna milcha?,Tapai le afno mobile banking bata payment garna saknu hunxa.
RAG,Hami debit ra credit card le payment accept garxau.,card le payment garna milcha?,Tapai le debit ya credit card bata payment garna saknu hunxa.
RAG,Hamro payment system le international card ko support garxau.,international card le payment garna milcha?,Tapai Visa ya MasterCard jasto international card bata payment garna saknu hunxa.
RAG,Hamro system le bank transfer accept garxau.,bank transfer le pay garna milcha?,Tapai le bank transfer bata payment garna saknu hunxa.
RAG,Hamro COD option sabai product ko lagi available chhaina.,COD option available chha ki nai?,Tapai le afno location ma COD available chha ki nai confirm garna website ma product details check garna saknu hunxa.
RAG,"Hami cash on delivery ko option provide garxau, tara yo sabai location ma available chhaina.",cash payment garna milcha?,"Tapai le cash on delivery ko maddat le payment garna saknu hunxa, tara afno location ma available chha ki nai confirm garnuhos."
RAG,"Hami esewa, khalti ra aru popular digital wallet accept garxau.",digital wallet ko lagi kun kun option xa?,"Tapai le esewa, khalti jasta digital wallet bata payment garna saknu hunxa."
RAG,"Hami khalti, mobile banking, ra card payment pani accept garxau.",esewa chhaina bhane aru option chha?,"Eswa chhaina bhane tapai khalti, mobile banking, ya debit/credit card bata pay garna saknu hunxa."
RAG,Hamro platform le EMI system ko lagi certain banks sanga collaboration gareko chha.,emi payment system xa?,Tapai afno bank ma EMI option chha ki nai check garera payment process suru garna saknu hunxa.
RAG,Hami le payment failed bhaye back-end ma transaction track garna sakchau ra madad garna sakchau.,payment failed bhayo bhane k garne?,"Tapai ko payment failed bhaye, hamro customer support team sanga contact garera sahayog lina saknu hunxa."
RAG,"Hami Nepal bhitra ko payment options accept garxau, international wallet currently support gardainau.",international wallet use garna milcha?,"Sorry, hami international wallet support gardainau. Nepal bhitra ko digital wallets matra accept garxau."
RAG,Hami sabai debit ra credit card accept garxau.,debit card accept huncha?,Tapai le debit card ko maddat le payment garna saknu hunxa.
RAG,"Khalti bata payment garera cashback scheme ko benefit lina milcha, aba esewa pani yesto scheme offer gardai chha.",khalti ko cashback scheme chha?,Tapai khalti ya esewa bata pay garera cashback scheme ko labh uthana saknu hunxa. Tapai le offer details check garnuhos.
RAG,Hami QR code scan garera payment garne option pani provide garxau.,QR code scan garera payment garna milcha?,Tapai le hamro QR code scan garera payment process garna saknu hunxa.
RAG,Hamro platform le installment plan ko lagi selected products ma option provide garxau.,instalment ma pay garna milcha?,Tapai le kunai kunai product installment ma pay garna saknu hunxa. Website ma product ko details check garnuhos.
RAG,Refund process hamro policy anusar garincha. Bank ra wallet ma time lagna sakcha.,refund payment kasto huncha?,Tapai ko refund 5-7 working days bhitra bank ya wallet ma process huncha.
RAG,Hami cheque payment currently accept gardainau.,cheque bata pay garna milcha?,"Sorry, hami cheque ko maddat le payment accept gardainau."
RAG,Hamro platform le certain banks ka credit card EMI ko support garxau.,credit card ko EMI support xa?,Tapai le EMI option ko lagi afno bank sanga confirm garera payment process garna saknu hunxa.
RAG,Payment confirmation email ya SMS ko maddat le garincha. Website ma pani details herna milcha.,payment confirmation kasari garne?,"Tapai le email ya SMS ma payment confirmation paunu hunxa, website ma pani details confirm garna saknu hunxa."
RAG,Refund process 5-7 working days ma complete huncha.,refund ma kati time lagcha?,Tapai ko refund 5-7 working days ma bank ya wallet ma deposit huncha.
RAG,Hami partial payment accept gardainau.,partial payment garna milcha?,"Sorry, hami le full payment matra accept garxau."
RAG,Hamro system le prepaid card support garxau.,prepaid card le payment garna milcha?,Tapai le prepaid card bata sajilo tarikale payment garna saknu hunxa.
RAG,Promo code checkout process ma apply garna milcha.,promo code ko lagi discount kasari apply garne?,Tapai checkout page ma promo code enter garera discount apply garna saknu hunxa.
RAG,Delivery boy lai cash dine option Cash on Delivery ko lagi available chha.,delivery boy lai cash dina milcha?,"Tapai delivery boy lai cash dina saknu hunxa, COD option select gareko xa bhane."
RAG,"Hamro system le email ma receipt pathaune cha, afno account ma pani receipt save huncha.",payment receipt kasari paune?,"Tapai le email ma payment receipt paunu hunxa, website account ma login garera pani receipt herna saknu hunxa."
RAG,"Hami esewa, khalti ra mobile banking accept garxau. Cash on delivery pani available xa.",k baata pay garne?,"Tapai esewa, khalti, wa mobile banking bata pay garna saknu hunxa. Cash on delivery pani option ma chha."
RAG,"Hami esewa, khalti, debit/credit card, ra mobile banking accept garxau.",kun kun payment method xa?,"Tapai esewa, khalti, debit/credit card, wa mobile banking bata payment garna saknu hunxa."
RAG,Hami esewa ko maddat le payment accept garxau. Aru options pani chha.,esewa accept garnu hunxa?,Tapai esewa bata sajilo tarikale payment garna saknu hunxa.
RAG,Hami Cash on Delivery (COD) option provide garxau. Sabai product ma huda chhaina.,COD xa?,Tapai ko location ma COD available chha ki nai confirm garna hamro website ma check garnuhos.
RAG,"Hami khalti accept garxau ra mobile banking, esewa, debit/credit card pani support garxau.",khalti le pay garna milcha?,Tapai khalti bata sajilo tarikale payment garna saknu hunxa.
RAG,Hami sabai mobile banking options accept garxau.,mobile banking le pay garna milcha?,Tapai le mobile banking ko maddat le payment garna saknu hunxa.
RAG,Hami debit ra credit card accept garxau.,card le payment garna milcha?,Tapai debit ya credit card ko maddat le payment garna saknu hunxa.
RAG,"Hami esewa, khalti, ra aru popular digital wallet accept garxau.",kun kun digital wallet chha?,"Tapai esewa, khalti, wa aru popular digital wallet baata payment garna saknu hunxa."
RAG,"Eswa ko sath-sathai khalti, mobile banking, ra debit/credit card accept garxau.",esewa chhaina bhane aru option chha?,"Eswa chhaina bhane tapai khalti, mobile banking, ya debit/credit card bata pay garna saknu hunxa."
RAG,"Hamro system esewa, khalti, ra aru digital wallets support garxau.",digital wallet le pay garna milcha?,"Tapai esewa, khalti jasta digital wallet baata pay garna saknu hunxa."
RAG,Hamro Cash on Delivery service sabai thau ma available chhaina tara jahan available chha tyo tapai confirm garna saknuhos.,COD option xa ki nai?,Tapai le COD option website ko delivery details check garera confirm garna saknu hunxa.
RAG,"Hami esewa, khalti, mobile banking, ra Cash on Delivery accept garxau.",kun kun tarika le payment garna milcha?,"Tapai esewa, khalti, mobile banking, wa Cash on Delivery bata payment garna saknu hunxa."
RAG,"Hami esewa, khalti, ra aru popular wallet accept garxau.",kun wallet haru support huncha?,"Tapai esewa, khalti, ra aru digital wallet bata payment garna saknu hunxa."
RAG,Eswa hamro payment methods ma include gareko chha.,esewa ko option chha?,Tapai esewa bata sajilo tarikale payment garna saknu hunxa.
RAG,Hami sabai mobile banking system accept garxau.,mobile banking le pay garna milcha ki milcha?,Tapai le mobile banking ko maddat le payment garna saknu hunxa.
RAG,"Eswa bata payment garna milcha, sathai khalti, mobile banking, ra COD pani available chha.",hami esewa bata payment garna milcha?,Tapai esewa bata payment garna saknu hunxa. Aru options pani available chha.
RAG,"Hami Cash on Delivery ko option provide garxau, tara sabai thau ma huda chhaina.",COD xa ki chhaina?,"Tapai ko thau ma COD available chha ki nai, website ma delivery options check garnuhos."
RAG,Hami khalti le payment accept garxau.,khalti ko option chha?,Tapai khalti bata pani payment garna saknu hunxa.
RAG,Hami debit ra credit card accept garxau.,card le payment garna milcha ki?,Tapai le debit ya credit card bata payment garna saknu hunxa.
RAG,"Eswa ko sath-sathai khalti, mobile banking, ra card payment ko option available chha.",esewa chhaina bhane k garne?,"Tapai le khalti, mobile banking, ya debit/credit card bata pay garna saknu hunxa."
RAG,"Hami esewa, khalti ra aru popular wallet accept garxau.",kunai digital wallet ko support xa?,Tapai digital wallet jasari esewa ra khalti bata payment garna saknu hunxa.
RAG,Hamro platform ma COD option certain location ma matra available chha.,COD available chha?,Tapai le COD option available chha ki nai afno location ko lagi confirm garna saknu hunxa.
RAG,Hamro system khalti ko support garxau.,khalti accept huncha?,Tapai le khalti ko maddat le sajilo tarikale payment garna saknu hunxa.
RAG,"Cash on Delivery ko option available chha, tara sabai location ma chhaina.",cash le pay garna milcha?,"Tapai le delivery ko bela cash dina saknu hunxa, COD option available chha bhane."
RAG,Eswa ra khalti duita wallet hamro system le accept garxau.,esewa ra khalti duita nai chalxa?,Tapai esewa wa khalti ma j kunai bata payment garna saknu hunxa.
RAG,"Hami esewa, khalti, mobile banking, ra Cash on Delivery accept garxau.",payment kasari garne? kun kun option chha?,"Tapai le esewa, khalti, mobile banking, ya Cash on Delivery bata payment garna saknu hunxa."
RAG,Hamro system digital wallets jasto ki esewa ra khalti support garxau.,digital wallet le payment garna milcha?,Tapai le digital wallets jasari esewa ya khalti bata payment garna saknu hunxa.
RAG,Hamro Cash on Delivery option sabai location ma available chhaina.,COD option confirm kasari garne?,Tapai COD option confirm garna website ko delivery details check garnuhos.
RAG,"Hami esewa, mobile banking, debit/credit card ra COD ko option provide garxau.",khalti chhaina bhane ke garne?,"Khalti chhaina bhane tapai esewa, mobile banking, ya debit/credit card bata payment garna saknu hunxa."
RAG,"Hami esewa, khalti, ra aru major digital wallets accept garxau.",kunai aru wallet xa ki?,"Tapai esewa, khalti, wa aru digital wallet bata payment garna saknu hunxa."
RAG,Hamro system le debit ra credit card accept garxau.,debit card le pay garna milcha?,Tapai debit card ko maddat le payment garna saknu hunxa.
RAG,"Hami esewa, khalti, ra aru popular digital wallet accept garxau.",kun kun digital wallet use garna milcha?,"Tapai esewa, khalti, wa aru popular digital wallet bata payment garna saknu hunxa."
RAG,Hamro platform ma COD option sabai delivery area ma available chhaina.,COD confirm xa ki chhaina?,Tapai ko thau ma COD available chha ki nai website ma delivery options check garnuhos.
RAG,Hamro payment system khalti support garxau.,khalti chha bhane payment garna milcha?,Tapai le khalti bata sajilo tarikale payment garna saknu hunxa.
RAG,Hami mobile wallet jasari esewa ra khalti support garxau.,mobile wallet le payment huncha?,"Tapai esewa, khalti jasta mobile wallet bata payment garna saknu hunxa."
RAG,"Hamro system ma Cash on Delivery option support garxau, tara sabai thau ma available chhaina.",COD le pay garna milcha?,"Tapai le delivery ko bela cash dina saknu hunxa, COD available chha bhane."
RAG,Hami esewa accept garxau.,esewa support xa?,Tapai esewa bata payment garna saknu hunxa.
RAG,"Hami khalti accept garxau ra aru options jasto ki esewa, mobile banking pani provide garxau.",khalti bata pay garna milcha ki nai?,Tapai khalti bata payment garna saknu hunxa.
RAG,Hamro system debit ra credit card accept garxau.,debit card bata pay garna milcha?,Tapai le debit card ko maddat le payment garna saknu hunxa.
RAG,"Hami esewa, khalti, ra aru popular gateways jasto ki card payment pani accept garxau.",kun kun payment gateway xa?,"Tapai esewa, khalti, wa card payment ko maddat le pay garna saknu hunxa."
RAG,"Hamro COD service sabai thau ma available chhaina, location anusar farak huncha.",COD service sabai location ma chha?,Tapai ko thau ma COD available chha ki nai hamro website ko delivery options ma check garnuhos.
RAG,"Hami esewa, khalti, mobile banking, ra debit/credit card ko maddat le payment accept garxau.",kun kun method le online payment garna milcha?,"Tapai le esewa, khalti, mobile banking, ya debit/credit card bata online payment garna saknu hunxa."
RAG,Hamro Cash on Delivery option certain locations ma available chha.,cash le pay garna milcha ki?,Tapai le cash ko maddat le COD option ma pay garna saknu hunxa.
RAG,Hamro platform khalti ko support garxau.,khalti accept huncha ki hunna?,Tapai khalti bata sajilo tarikale payment garna saknu hunxa.
RAG,Hamro platform le esewa ko support garxau.,esewa chha bhane payment garna milcha?,Tapai le esewa bata payment garna saknu hunxa.
RAG,Hamro COD option ma cash ko maddat le pay garna saknu hunxa.,COD ko lagi cash dina milcha?,Tapai delivery ko bela cash dina saknu hunxa COD option select gareko xa bhane.
RAG,Hamro system ma debit ra credit card accept garxau.,card payment kasari garne?,Tapai checkout page ma debit ya credit card details enter garera payment garna saknu hunxa.
RAG,"Hami esewa, khalti, ra aru major digital wallet accept garxau.",digital payment ko lagi kun wallet use garne?,"Tapai esewa, khalti, wa aru popular digital wallets ko maddat le payment garna saknu hunxa."
RAG,Hamro COD service sabai thau ma available chhaina.,COD confirm garna kasari?,"Tapai ko thau ma COD available chha ki nai, hamro website ma delivery options check garnuhos."
RAG,Eswa ra khalti hamro sabai users ko lagi sajilo ra popular options hun.,payment options bata kun wallet easy huncha?,Tapai le esewa ya khalti jasto easy wallet bata payment garna saknu hunxa.
RAG,"Hami esewa, khalti, debit/credit card, ra mobile banking accept garxau.",kunai aru payment method xa?,"Tapai esewa, khalti, debit/credit card, wa mobile banking bata payment garna saknu hunxa."
RAG,"Hami esewa, khalti, debit/credit card, ra mobile banking support garxau. Cash on Delivery pani available chha.",kun kun payment method use garna milcha?,"Tapai esewa, khalti, debit/credit card, mobile banking, wa Cash on Delivery bata payment garna saknu hunxa."
RAG,"Hamro system esewa, khalti ra aru popular wallet accept garxau.",payment garna ko lagi kun wallet available chha?,"Tapai esewa, khalti, ya aru digital wallet bata payment garna saknu hunxa."
RAG,Hamro platform ma esewa ra khalti jasto mobile wallets support hun.,mobile wallet accept huncha?,Tapai mobile wallets jasto ki esewa ra khalti bata payment garna saknu hunxa.
RAG,Hami esewa ra khalti jasta wallets accept garxau.,kunai wallet le pay garna milcha?,Tapai le wallet jasari esewa ya khalti bata sajilo tarikale payment garna saknu hunxa.
RAG,Cash on Delivery option sabai thau ma available chhaina.,COD support chha ki nai?,Tapai COD option available chha ki nai confirm garna website ko delivery details check garnuhos.
RAG,"Hamro system khalti, mobile banking, ra debit/credit card accept garxau.",payment kasari garne esewa chhaina bhane?,"Eswa chhaina bhane tapai khalti, mobile banking, ya debit/credit card bata payment garna saknu hunxa."
RAG,"Hamro platform esewa, khalti, ra aru digital wallets accept garxau.",digital wallet haru ko option xa?,"Tapai esewa, khalti, ya aru digital wallets bata payment garna saknu hunxa."
RAG,Hami Cash on Delivery provide garxau tara sabai thau ma huda chhaina.,cash ko maddat le payment garna milcha?,Tapai le COD ko bela cash dina saknu hunxa.
RAG,Hamro platform khalti accept garxau.,khalti chha bhane pay garna milcha?,Tapai khalti bata payment garna saknu hunxa.
RAG,"Hami esewa, khalti, mobile banking, debit/credit card, ra COD options accept garxau.",kun kun tarika le paisa tirna milcha?,"Tapai esewa, khalti, mobile banking, debit/credit card, ya Cash on Delivery bata paisa tirna saknu hunxa."
RAG,Hami debit ra credit card accept garxau.,card ko maddat le payment huncha ki?,Tapai debit ya credit card ko maddat le payment garna saknu hunxa.
RAG,Hamro system mobile banking ko maddat le payment support garxau.,mobile banking le paisa tirna milcha ki?,Tapai le mobile banking ko maddat le payment garna saknu hunxa.
RAG,Hamro platform esewa accept garxau.,esewa accept huncha ki?,Tapai esewa bata payment garna saknu hunxa.
RAG,Hamro payment system esewa ra khalti duita nai accept garxau.,esewa ya khalti bata pay garna milcha?,Tapai esewa ya khalti bata sajilo tarikale payment garna saknu hunxa.
RAG,Hamro COD service location anusar available huncha.,COD option confirm garna milcha ki?,Tapai COD option available chha ki nai website ma delivery details check garnuhos.
RAG,Hamro platform debit ra credit card support garxau.,debit ya credit card le pay garna milcha?,Tapai debit ya credit card ko maddat le payment garna saknu hunxa.
RAG,"Hami esewa, khalti, ra aru major digital wallets accept garxau.",kun kun wallet le payment support garxau?,"Tapai esewa, khalti, wa aru popular digital wallets bata payment garna saknu hunxa."
RAG,Hamro Cash on Delivery option sabai delivery areas ma available chhaina.,cash tirne option xa?,"Tapai le COD ko bela cash tirna saknu hunxa, available thau ma."
RAG,Cash on Delivery option location anusar farak huncha.,COD option kasto cha?,Tapai COD option available chha ki nai afno location ko lagi confirm garna saknu hunxa.
RAG,Hamro system le esewa payment accept garxau.,esewa accept huncha?,Tapai esewa ko maddat le sajilo tarikale payment garna saknu hunxa.
RAG,"Hami esewa, khalti, ra aru digital wallets support garxau.",kun kun wallet le payment garna milcha?,"Tapai esewa, khalti, ya aru digital wallets bata payment garna saknu hunxa."
RAG,Hamro COD service location anusar available chha.,COD option sabai thau ma chha?,"Tapai ko thau ma COD available chha ki nai, website ma delivery options check garnuhos."
RAG,Hamro platform khalti accept garxau.,khalti bata payment garna milcha?,Tapai khalti bata payment garna saknu hunxa.
RAG,Hami esewa payment support garxau.,esewa chha bhane paisa tirna milcha?,Tapai esewa ko maddat le sajilo tarikale paisa tirna saknu hunxa.
RAG,Hamro Cash on Delivery option location-wise available huncha.,COD confirm garna milcha?,Tapai COD option available chha ki nai afno location confirm garnuhos.
RAG,Hamro platform esewa accept garxau.,digital wallet ko lagi esewa use garna milcha?,Tapai esewa ko maddat le digital payment garna saknu hunxa.
RAG,Hamro Cash on Delivery option delivery location anusar available chha.,cash payment ko lagi option xa?,Tapai ko delivery area ma COD option xa bhane cash ko maddat le payment garna saknu hunxa.
RAG,"Hami esewa, khalti, debit/credit card, ra mobile banking support garxau.",kun kun payment gateway support huncha?,"Tapai esewa, khalti, debit/credit card, wa mobile banking bata payment garna saknu hunxa."
RAG,Hamro system ma esewa bata payment accept garxau.,esewa ko option chha?,Tapai esewa bata payment garna saknu hunxa.
RAG,Hamro platform khalti support garxau.,khalti accept huncha?,Tapai khalti ko maddat le sajilo tarikale payment garna saknu hunxa.
RAG,Hami mobile banking ko maddat le payment accept garxau.,mobile banking le payment huncha?,Tapai le mobile banking bata payment garna saknu hunxa.
RAG,Hamro COD service location-wise available huncha.,COD option sabai delivery area ma chha?,Tapai ko delivery area ma COD chha ki nai confirm garnuhos.
RAG,Hamro system esewa payment accept garxau.,esewa ko maddat le paisa tirna milcha?,Tapai esewa ko maddat le payment garna saknu hunxa.
RAG,Hamro Cash on Delivery option cash payment ko lagi available chha.,COD le cash payment huncha?,Tapai COD option select gareko xa bhane cash ko maddat le payment garna saknu hunxa.
RAG,Hamro platform debit ra credit card support garxau.,debit card ko maddat le payment garna milcha?,Tapai debit card ko maddat le payment garna saknu hunxa.
RAG,"Hamro system esewa, khalti, ra aru major wallets support garxau.",kun kun wallet accept huncha?,"Tapai esewa, khalti, ya aru popular wallets bata payment garna saknu hunxa."
RAG,Hamro platform online payment ko lagi esewa accept garxau.,esewa bata online payment huncha?,Tapai esewa bata online payment garna saknu hunxa.
RAG,Hamro COD service delivery ko bela cash payment ko lagi available chha.,cash delivery ko bela pay garna milcha?,Tapai le delivery ko bela cash tirna saknu hunxa COD select gareko xa bhane.
RAG,Hamro payment system mobile banking accept garxau.,mobile banking le paisa tirna milcha?,Tapai mobile banking ko maddat le paisa tirna saknu hunxa.
RAG,Cash on Delivery option sabai location ma available chhaina.,COD confirm huncha ki nai?,Tapai COD option confirm garna delivery details check garnuhos.
RAG,Hamro system debit ra credit card accept garxau.,credit card le pay garna milcha?,Tapai credit card ko maddat le payment garna saknu hunxa.
RAG,"Hami esewa, khalti, ra aru wallets support garxau.",wallet bata online pay garna milcha?,"Tapai esewa, khalti, ya aru digital wallets bata online payment garna saknu hunxa."
RAG,Hamro platform esewa accept garxau.,esewa ma balance xa bhane pay garna milcha?,Tapai esewa ma balance cha bhane sajilo tarikale payment garna saknu hunxa.
RAG,Cash on Delivery option location-wise available huncha.,COD use garna milcha?,Tapai ko location ma COD available chha ki nai confirm garnuhos.
RAG,Hamro system khalti bata payment accept garxau.,khalti le payment confirm huncha?,Tapai khalti le sajilo tarikale payment garna saknu hunxa.
RAG,Cash on Delivery ko bela cash accept huncha.,COD option xa bhane cash payment garna milcha?,Tapai COD option select gareko xa bhane cash ko maddat le payment garna saknu hunxa.
RAG,Hamro system esewa payment accept garxau.,esewa bata kasto payment process huncha?,Tapai esewa ko account bata direct payment garna saknu hunxa.
RAG,Hami esewa ra khalti jasta digital wallets accept garxau.,digital wallet le pay garna easy huncha?,Tapai esewa ya khalti jasta digital wallets bata easy payment garna saknu hunxa.
RAG,"Hami esewa, khalti, mobile banking, debit/credit card, ra COD options accept garxau.",kun kun option le payment garna milcha?,"Tapai esewa, khalti, mobile banking, debit/credit card, wa COD ko maddat le payment garna saknu hunxa."
RAG,Hamro COD option delivery area anusar available chha.,COD confirm kasari garne?,"Tapai COD option available chha ki nai, delivery details check garnuhos."
RAG,Hami esewa ra khalti jasta online wallets accept garxau.,kun kun online wallet le pay garna milcha?,Tapai esewa ya khalti bata online payment garna saknu hunxa.
RAG,Hamro COD option cash payment ko lagi available chha.,COD ma cash tirna milcha?,Tapai COD option ma cash tirna saknu hunxa.
RAG,Hamro platform mobile banking bata payment support garxau.,mobile banking bata paisa tirna milcha?,Tapai mobile banking bata paisa tirna saknu hunxa.
RAG,Hamro system khalti payment accept garxau.,khalti bata paisa pay garna milcha?,Tapai khalti bata paisa pay garna saknu hunxa.
RAG,Hamro system esewa payment support garxau.,esewa chha bhane payment kasari garne?,Tapai esewa chha bhane sajilo tarikale payment garna saknu hunxa.
RAG,Hamro COD service location-wise available huncha.,COD option kasari confirm garne?,Tapai ko location ma COD chha ki nai website ko delivery details ma confirm garnuhos.
RAG,"Hamro platform esewa, khalti, ra aru wallets accept garxau.",online payment garna kun kun wallet huncha?,"Tapai esewa, khalti, wa aru online wallets bata payment garna saknu hunxa."
RAG,Hamro COD option cash ko lagi available chha.,COD confirm xa bhane cash payment huncha?,Tapai le cash payment COD select gareko xa bhane garna saknu hunxa.
RAG,Hamro system esewa ra khalti jasta wallets accept garxau.,kunai wallet le payment garna milcha?,Tapai le esewa ya khalti jasta wallet bata payment garna saknu hunxa.
RAG,Hamro platform debit ra credit card support garxau.,debit card le pay garna milcha?,Tapai debit card bata payment garna saknu hunxa.
RAG,COD option delivery area ko basis ma available chha.,COD option confirm kasari garne?,Tapai ko area ma COD chha ki nai confirm garna website ko delivery options check garnuhos.
RAG,Hamro system credit card accept garxau.,credit card bata payment garna milcha?,Tapai credit card ko maddat le payment garna saknu hunxa.
RAG,"Hami esewa, khalti, ra aru popular wallets accept garxau.",wallet use garera online payment huncha?,Tapai esewa ya khalti bata online payment garna saknu hunxa.
RAG,Hamro COD option delivery location ko basis ma available chha.,COD confirm huncha ki nai?,Tapai COD confirm garna ko lagi delivery details check garnuhos.
RAG,Hamro platform khalti payment accept garxau.,khalti accept huncha?,Tapai khalti bata payment garna saknu hunxa.
RAG,Hamro COD service cash payment support garxau.,COD ma cash pay garna milcha?,Tapai le COD select gareko xa bhane cash ma pay garna saknu hunxa.
RAG,Hamro platform ma mobile banking le payment support garxau.,mobile banking le paisa transfer garna milcha?,Tapai mobile banking ko maddat le paisa transfer garna saknu hunxa.
RAG,Hamro platform esewa ra khalti jasta digital wallets support garxau.,kun kun digital wallet ma support xa?,Tapai esewa ya khalti bata payment garna saknu hunxa.
RAG,Hamro system esewa ko maddat le payment confirm garxau.,esewa le payment confirm huncha?,Tapai esewa bata payment garna saknu hunxa.
RAG,Cash on Delivery service ma cash payment ko lagi support chha.,COD option le cash ma pay garna milcha?,Tapai COD select gareko xa bhane cash ko maddat le pay garna saknu hunxa.
RAG,Hamro platform debit ra credit card accept garxau.,debit ya credit card accept huncha?,Tapai debit ya credit card bata payment garna saknu hunxa.
RAG,Hamro COD service ma cash payment ko lagi option available chha.,COD ko lagi cash dinu parcha?,Tapai COD ko lagi cash tirna saknu hunxa.
RAG,Hamro platform ma esewa payment accept huncha.,wallet ma esewa ko option chha?,Tapai esewa ko option le payment garna saknu hunxa.
RAG,Hamro system khalti ko maddat le payment support garxau.,khalti ko through payment huncha?,Tapai khalti bata payment garna saknu hunxa.
RAG,Hamro system mobile banking ko through payment support garxau.,mobile banking le online payment garna milcha?,Tapai mobile banking bata online payment garna saknu hunxa.
RAG,Hamro platform debit card accept garxau.,debit card use garna milcha?,Tapai debit card le sajilo tarikale payment garna saknu hunxa.
RAG,Hamro system khalti ko payment accept garxau.,khalti ma balance xa bhane payment garna milcha?,Tapai khalti ma balance xa bhane sajilo tarikale payment garna saknu hunxa.
RAG,"Hami esewa, khalti, debit/credit card, ra mobile banking accept garxau.",kun kun online payment ko lagi support xa?,"Tapai esewa, khalti, debit/credit card, ya mobile banking bata online payment garna saknu hunxa."
RAG,Hamro COD option cash payment ko lagi available huncha.,cash payment ko lagi COD available chha?,Tapai cash payment COD select gareko xa bhane garna saknu hunxa.
RAG,Hamro platform esewa online payment ko lagi support garxau.,esewa bata online payment garna milcha?,Tapai esewa bata sajilo tarikale online payment garna saknu hunxa.
RAG,Hami khalti bata payment support garxau.,khalti ko through paisa tirna milcha?,Tapai khalti bata paisa tirna saknu hunxa.
RAG,Hamro payment system mobile banking ko lagi support garxau.,mobile banking ko option xa?,Tapai mobile banking ko maddat le payment garna saknu hunxa.
RAG,Hamro COD system ma cash payment ko lagi option available chha.,COD option ma cash pay garna milcha?,Tapai COD ma cash pay garna saknu hunxa.
RAG,Hami esewa ra khalti jasta wallet bata payment support garxau.,wallet bata payment garna milcha?,Tapai wallet bata sajilo tarikale payment garna saknu hunxa.
RAG,Hamro system esewa payment accept garxau.,esewa accept huncha?,Tapai le esewa bata payment garna saknu hunxa.
RAG,COD ma cash ko maddat le payment garna milcha.,cash on delivery ko lagi cash dina milcha?,Tapai cash on delivery ko lagi cash pay garna saknu hunxa.
RAG,Hamro platform ma mobile banking payment ko lagi available chha.,mobile banking le confirm payment huncha?,Tapai mobile banking le payment confirm garna saknu hunxa.
RAG,Hamro COD system ma cash payment ko lagi option available chha.,COD service le cash ko through payment huncha?,Tapai COD ma cash ko maddat le payment garna saknu hunxa.
