,category,system,instruction,context,question,response
64,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali Language language.,,"The children loved visiting their grandparentsâ€™ house, where they could play in the big garden and eat homemade treats.","Ketaketi haru afno hajurbuwa hajurama ko ghar ma jaanu dherai man parcha, jaha thulo bagan ma khelna ra gharelu mithai khana paucha."
65,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko ek prasiddha desert Mustang ho, jo Nepali himalayan kshetra ma sthit cha. Mustang ko desert landscape, jaha rochh, rekh ra sandy hills hunchha, prachin Tibetian culture sanga judi cha.",Nepal ko ek prasiddha desert k ho?,"Mustang, Nepal ko ek prasiddha desert ho."
66,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Prerak ek ukti lekha.,"Kasailai sajilo mancheko katha sunera hunchha, tar tarika khojda matra agadi badna sakinchha."
67,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from English language to Roman Nepali language.,,"The construction workers started their day early in the morning, unloading heavy materials and preparing the site for the new building project.",Nirman kaam garne manche haru bihana chadai apno din suru garda bhari saman orliera ra naya building banauko lagi jagga tayar gardai thiye.
68,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Platform ma home decor items jasari wall art, lighting fixtures, ra cushions provide huncha. Delivery time 7-10 din samma cha, tara sabai items ma no-cost EMI available huncha. Return policy defective items ko lagi 7 din samma applicable cha.",Wall art return garna defective condition ma k garnu parcha?,Wall art return garna defective condition ma photo upload garera 'Return Request' suru garnu hos.
69,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali samaj ma ek dharmik gramin karyakram ra tyo karyakram ko mahatwa lekhnu.,"Deusi-Bhailo ek dharmik gramin karyakram ho, jun Tihar ma mitrata ra samuhik anand ko roop ma manaiincha."
70,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ko prasiddha rajaswa sthal Patan ho, jo Kathmandu valley ko ek pramukh sheher ho. Patan ko sanskritik virasat, mandir haru, ra purano rajaswa karyakram haru ko pradarshan Nepal ko samajik ra aarthik gathana ma mahatvapurn yogdan puryaune cha. Yaha ko puraano sthaniya itihas ra rajaswa sthalo ko mahatva raheko cha, ra yaha ko sanskritik virasat ko ek pratibimb ho.",Nepal ko prasiddha rajaswa sthal k ho?,Patan ho.
71,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Platform ma fitness accessories jasari yoga mats, resistance bands, ra dumbbells available cha. Delivery time 3-6 din samma ho, ra return policy unused items ko lagi 10 din samma applicable cha. Resistance bands ra yoga mats ko material high-quality non-toxic rubber bata baneko cha, ra size options haru product page ma listed cha.",Yoga mats ra resistance bands ko material kasari check garna sakchhu?,Yoga mats ra resistance bands ko material product page ma 'Specifications' section ma high-quality non-toxic rubber bata baneko cha.
72,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ma sabai bhanda dherai snowfall kaha huncha?,Himalayan region ma.
73,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepal ko sabai bhanda purano chhapakhana kaha cha?,Kathmandu ma.
74,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Bus ticket online kasari katne?,"HamroPatra app ya website bata ticket book garna milcha, destination ra date halnu parcha."
75,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepal ma sabai bhanda thulo jheel Rara Jheel ho, jo Mugu jilla ma sthit cha. Rara Jheel ko kshetra 10.8 square kilometers ho ra yo 167 meter gahra cha. Yo jheel Nepal ko ek prakritik ratan ho, jaha paryatak haru manmohak drishya ra shanti ko anand linchhan.",Nepal ma sabai bhanda thulo jheel k ho?,"Rara Jheel, Nepal ma sabai bhanda thulo jheel ho, jo Mugu jilla ma sthit cha ra prakritik ratan ho."
76,summary,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

",Summarize the following text in Roman Nepali,,"Ek scientist le renewable energy ko lagi solar panels ma improvement garcha. Aba usle efficient ra low-cost technology introduce garcha, jun environment friendly huncha.",Scientist le solar panel ko efficiency badhaera environment friendly technology develop garcha.
77,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali lokchha ma ek prasiddha mithai ra tyo ko anand lekhnu.,"Sweets like Ladoo are an important part of Nepali festivals, bringing joy and representing cultural celebration."
78,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Mobile ko photo quality kasto thik rakhne?,"Photo quality ramro rakhna camera settings ma HDR on garera, clean lens use garera photo khichnu parcha."
79,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Ke timi malai sath dine chau?,Will you accompany me?
80,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu",Amazon warehouse ma robotics ra AI ko use le product locate ra manage garincha. Abaadi barcodes ra sensors le automation process lai easy banaucha.,Amazon warehouse ma product management kasari huncha?,Amazon warehouse ma robotics ra barcodes use garera product management huncha.
81,translate,"Talako diyeko instruction follow garera sodhiyeko answer vana.

",Translate the given text from Roman Nepali language to English language.,,Hijo ko celebration dherai exciting thiyo.,Yesterdayâ€™s celebration was very exciting.
82,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Product: Apple MacBook Air M2, Price: Rs. 1,55,000, Features: M2 Chip, 8GB RAM, 256GB SSD.",Apple MacBook Air M2 ko chip k ho?,Apple MacBook Air M2 ma M2 Chip cha.
83,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Nepali music includes traditional folk music, modern pop, and classical genres. Instruments like the madal, sarangi, and bansuri are commonly used.",Nepali music industry ko barema bataunus.,"Nepali music ma traditional folk, modern pop, ra classical genres sammilit chan. Madal, sarangi, ra bansuri jasta instruments praya garincha."
84,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali lok sanskriti ma pariwartan kasari airaheko cha?,"Nepali lok sanskriti ma pariwartan shaharikaran, prabidhi, ra pashchatya sanskriti ko prabhav le airaheko chha."
85,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali ma 'Cloud Storage' ko meaning ke ho?,'Cloud Storage' ko arth Nepali ma 'Badal Bhandaran' ho.
86,open_qa,"Talako instruction follow garera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, answer deu.",,Nepali lok sanskriti ma sammilit ek prasiddha nach ra usko mahatwa lekhnu.,"Sakela Nach Rai janajati ko prasiddha lok sanskriti ho, jun parva ma sanskritik ekta ra khushi prakat garcha."
87,RAG,"Talako instruction herera user le gareko question ko Roman Nepali Language ma answer vana

","User le gareko question lai, context herera mildo answer deu","Festive sales ma up to 70% off available cha. Shipping charges Rs. 500 bhanda mathi free cha, aba talako orders ma Rs. 50 charge huncha. Refund 5-7 din bhitra bank ma credit huncha.",Shipping charges ko barema thaha dinuhos.,"Shipping charges Rs. 500 bhanda mathi free cha, aba talako orders ma Rs. 50 charge huncha."
