category,instruction,context,question,response
RAG,Answer the following question by looking at the context if context is given.,"Platform ma gaming accessories jasari keyboards, mice, ra gaming chairs available cha. Delivery sabai orders ma free huncha, ra 7 din ko return policy applicable cha. High-value items ma ID verification process lagcha.",Gaming chair order garepachi ID verification lagcha ki nadina?,"Gaming chair high-value order ma aaucha bhane ID verification lagcha, jasma courier agent lai valid ID dekhanu parcha."
RAG,Answer the following question by looking at the context if context is given.,"GadgetMartNepal, Pokhara-4, Lakeside ma electronics showroom cha. Pokhara ko sabai wards ma free delivery garna sakinchha. Kathmandu, Biratnagar, ra purba ma delivery charge lagcha.",Pokhara ko sabai wards ma delivery free cha ra?,"Ho, Pokhara ma delivery free cha."
translate,"Translate the given text from Roman Nepali language to English language.
",,"hijo ko conversation sanga ekdam deep connection feel bhayo. maile chai pura honest ra open talk garna paye, ani tyo ekdam refreshing lagyo.","Yesterdayâ€™s conversation felt like a deep connection. I got to have an honest and open talk, and it felt so refreshing."
translate,Translate the text below from English to Nepali:, ,Nepal is a land of diverse cultures and traditions. Each ethnic group has its own unique customs and practices. This diversity is one of the country's greatest strengths.,Nepal vividh sanskriti ra paramparaharu ko desh ho. Pratyek jaatiko afno unique customs ra practices chhan. Yo diversity desh ko sabai bhanda thulo strength ho.
translate,"Translate the given text from Roman Nepali language to English language.
",,Maile chai tyo task ko details already send gareko chu.,I have already sent the details of that task.
translate,"Translate the given text from Roman Nepali language to English language.
",,"hijo ko din ta ekdam hectic thiyo. office ma kaam ko pressure dherai thiyo, aba ta ghar ma pugera relax hunu parcha bhanera socheko, tara kitchen ma ekdam jhanjhat bhayo.","Yesterday was such a hectic day. There was so much pressure at the office, and I thought I could relax after reaching home, but the kitchen was a mess."
translate,"Translate the given text from English language to Roman Nepali Language language.
",,"The city lights sparkled like stars in the night, creating a magical and vibrant atmosphere that captivated everyone.","Sahar ko batti raat ma taara jastai chamkyo, magical ra jindagile bhareko mahol banayo jun sabai lai akarsit garyo."
RAG,Answer the following question by looking at the context if context is given.,"Kathmandu Gadget Hub ma smart appliances, headphones, ra wireless chargers available chhan. Winter sale ma headphones ma 7% discount cha.",Hajurko headphones ma winter sale ma discount cha?,Winter sale ma headphones ma 7% discount cha.
open_qa,You are a helpful assistant. Answer the given user question.,,14 x 3 ko answer kati ho?,14 x 3 ko answer 42 ho.
translate,"Translate the given text from English language to Roman Nepali Language language.
",,The newly constructed bridge will significantly reduce travel time between the two cities.,Naya baneko pul le dui sahar bich ko yatra samay ko kramash: ghataune cha.
open_qa,You are a helpful assistant. Answer the given user question.,Foodmandu app ko process.,Tapai kasari online food order garna saknuhuncha?,"Foodmandu app download garnus, menu browse garnus, food select garera payment garnus."
RAG,Answer the following question by looking at the context if context is given.,"Pokhara ma delivery charge Rs. 150 hunchha, tara order Rs. 5,000 bhanda badi bhaye delivery charge free hunchha. Delivery normally 2-3 business days ma hunchha. Expedited delivery ko lagi Rs. 300 additional charge lagchha.",Pokhara ma delivery free hunchha?,"Hajur, order Rs. 5,000 bhanda badi bhaye delivery charge free hunchha."
translate,Translate the text below from English to Nepali:, ,"During Dashain, a lot of delicious food is made at home. Eating momo, sel roti, and meat is so much fun.","Dashain ma ghar ma dherai mitho khana bancha. Momo, sel roti, ra masu khana ekdamai majja aayo."
open_qa,You are a helpful assistant. Answer the given user question.,,Manche ko sabai bhanda fast organ kun ho?,Heart.
translate,Translate the text below from Nepali to English:, ,Nepali samaj ma dherai jana le afno samudayi ko lagi kaam garchhan. Yo chha hamro samaj ko ek ramro paksha.,Many people in Nepal work for their community. This is a good aspect of our society.
open_qa,You are a helpful assistant. Answer the given user question.,,Bike ko mileage kasari badhaune?,"Bike ko mileage badhauna time ma servicing garna, ramro petrol use garna ra halka speed ma drive garna parcha."
RAG,Answer the following question by looking at the context if context is given.,"Biratnagar Mobile World, Biratnagar-12 ma cha. Tapai le Samsung Galaxy M32, Xiaomi Mi 11X, ra Asus Zenbook 14 pauna saknuhuncha. Stock available cha. Price NPR 20,000 to NPR 85,000.",Xiaomi Mi 11X ko stock cha ra kati price cha?,"Xiaomi Mi 11X ko stock available cha. Price NPR 35,000 cha."
translate,Translate the text below from Nepali to English:, ,"Nepal ko itihas birata, sanskriti, ra parampara ko katha le bhareko cha.","The history of Nepal is rich with stories of bravery, culture, and tradition."
translate,Translate the text below from English to Nepali:, ,"Dashain is coming, and I’m so excited. The whole family gathers at home, and lots of delicious food is made. Putting on tika, swinging on the swing, and eating my mom’s meat and rice—these are all special things about Dashain. Ahh, I can’t wait!","Dashain aaudai xa, malai ta dherai excitement vairako xa. Ghar ma sabai family jamma hunxan, ani dherai mitho mitho khana haru banxa. Tika lagauna, swing jhulna, ani aama ko masu bhat khana, yo sabai nai Dashain ko special kura ho. Ahh, I can’t wait!"
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko sabai bhanda thulo pahar Mount Everest ho, jo duniya ko sabai bhanda uchcha pahar ho. Everest, jo 8,848 meter uncha cha, Nepal ra Tibet ko seema ma sthit cha. Everest ko safar, trekking aur mountaineering ko madhyam bata duniya bhar bata anek yatrai haru yaha aune garincha.",Nepal ko sabai bhanda thulo pahar ko naam ke ho?,"Mount Everest, Nepal ko sabai bhanda thulo pahar ho, jo 8,848 meter uncha cha aur trekking aur mountaineering ko ek pramukh sthal ho."
RAG,Answer the following question by looking at the context if context is given.,"Nepal ma sabai bhanda purano bhawan Hanuman Dhoka ho, jo Kathmandu ma sthit cha. Hanuman Dhoka ek rajasik bhawan ho, jo Nepal ko purano itihas ra sanskritik virasat ko roop ma prasiddha cha. Yo bhawan Nepal ko rajasik shakti aur sanskritik prasiddhata ko darshan garincha.",Nepal ma sabai bhanda purano bhawan k ho?,"Hanuman Dhoka, Nepal ma sabai bhanda purano bhawan ho, jo Kathmandu ma sthit cha aur rajasik bhawan ho."
RAG,Answer the following question by looking at the context if context is given.,Gadget Store Nepal le Dashain ma 25% discount cha mobile phones ra gadgets ma. Tapai le yeh offer Kathmandu ra surrounding areas ma free delivery paunuhunchha.,Dashain ma kati discount cha gadgets ra mobile phones ma?,Dashain ma 25% discount cha mobile phones ra gadgets ma.
open_qa,You are a helpful assistant. Answer the given user question.,,Nepali food world ma popular kasari banaune?,"Nepali food world ma popular banauna authentic dishes jastai momo, dal-bhat, ani gundruk ko global marketing garne parcha. International food festivals ma Nepali food stalls establish garne. Local chefs lai train garera international restaurants ma Nepali cuisine ko branch kholne. Social media ma influencers ko madad le Nepali recipes promote garne. Nepali food products ko packaging improve garera export garna suru garne."
RAG,Answer the following question by looking at the context if context is given.,"Dell XPS 13 ek premium ultrabook ho. Yesko price 140000 ho. Yesma Intel i7 processor, 16 GB RAM, 512 GB SSD, ra 13.4-inch InfinityEdge display available cha.",Dell XPS 13 laptop ko price kati ho?,"Dell XPS 13 ko price 140000 ho. Yesma Intel i7 processor, 16 GB RAM, 512 GB SSD, ra 13.4-inch InfinityEdge display available cha."
translate,Translate the text below from Nepali to English:, ,Sustainable living ko concept popular bhairako cha kinaki mancheharu environmental issues ko barema dherai aware bhairaheka chan.,The concept of sustainable living is gaining popularity as people become more aware of environmental issues.
RAG,Answer the following question by looking at the context if context is given.,"Product Name: Camera Kappa, Color Options: Black, Silver, Blue. Popularity: Black is the most sold color. Competitor Comparison: Store W offers only Black and Silver. Usage Tip: Use a protective case to maintain color quality. Warranty: 1 year. Delivery Time: 1-2 days in Kathmandu.",Camera Kappa ko color options k k cha?,"Camera Kappa ko color options Black, Silver, ra Blue cha. Black sabai bhanda badi bikri hune color ho."
RAG,Answer the following question by looking at the context if context is given.,"Pokhara Mobile Plaza, Lakeside ma cha. Tapai le Asus TUF Gaming laptop, Samsung Galaxy A52, ra Xiaomi Redmi Note 10 ko mobiles pauna saknuhuncha. Stock cha. Price NPR 20,000 to NPR 70,000.",Xiaomi Redmi Note 10 ko stock cha ra kati price cha?,"Xiaomi Redmi Note 10 ko stock available cha. Price NPR 23,500 cha."
open_qa,You are a helpful assistant. Answer the given user question.,12 ra 18,Yo sankhya ko LCM nikalnus.,12 ra 18 ko LCM 36 ho.
RAG,Answer the following question by looking at the context if context is given.,Apple ko AirPods le external noise cancel garna active noise cancellation technology use garcha. Abaadi internal microphones le surrounding sound capture garera opposite sound wave create garincha.,Apple ko AirPods ma noise cancellation kasari kaam garcha?,AirPods active noise cancellation le external sound block garcha.
RAG,Answer the following question by looking at the context if context is given.,"NepalGadgetStore, Pokhara-7, Lakeside ma electronics showroom chha. Pokhara valley ko sabai wards ma free delivery available chha. Aba saman ko order Rs. 3000 mathi gare Lekhnath, Baglung, ra Kaski samma delivery free garna sakinchha. Tara, Dharan, Biratnagar, ra Kathmandu ma delivery garna sakidaina.",Dharan ra Biratnagar ma delivery garna sakidaina?,Dharan ra Biratnagar ma delivery garna sakidaina.
open_qa,You are a helpful assistant. Answer the given user question.,Ek din manche ko maya matra chha.,Nepali ma tyo line ko context explain garnus.,Yo line le manav sambandh ko astitwa ra samjhana ko mahatwa dekhauncha.
translate,"Translate the given text from Roman Nepali language to English language.
",,Maile tyo restaurant ko food try garna man lagcha.,I feel like trying the food from that restaurant.
RAG,Answer the following question by looking at the context if context is given.,"GadgetWorld, Kathmandu-6, Jamal ma electronics showroom cha. Kathmandu ra Pokhara ma delivery free cha. Aba, Chitwan, Biratnagar, ra purba ma delivery garna charge lagcha.",Chitwan ma delivery garna charge lagcha?,"Ho, Chitwan ma delivery charge lagcha."
summary,Summarize the following text:,,"Nepali kalakar haru le sanskritik kshetra ma mahan yogdan diyechhan. Film, geet, ra nach ma pani mahatwapurna pragati bhayeko chha.",Nepali kalakar sanskritik kshetra ma mahatwapurna yogdan dinchhan.
translate,"Translate the given text from Roman Nepali language to English language.
",,Timi sanga kura garera maile dherai ramro feel garchu.,I feel really good talking to you.
translate,Translate the text below from Nepali to English:, ,Technology le manushya ko life ma global connection lai possible banayo.,Technology has made global connection possible in life.
RAG,Answer the following question by looking at the context if context is given.,"Product ID: 11223, Safety Features: Overheat protection, Child lock.",Yo product ko safety features k k ho? Product ID: 11223,Product ID: 11223 ko safety features overheat protection ra child lock ho.
RAG,Answer the following question by looking at the context if context is given.,"Biratnagar ma delivery normally 3-4 business days ma hunchha. Delivery charge Rs. 200 hunchha, tara order Rs. 5,000 bhanda badi bhaye delivery charge free hunchha. Expedited delivery available chha, jasma Rs. 300 additional charge lagchha ra product 2-3 business days ma deliver hunchha.",Biratnagar ma delivery ma kati din lagchha?,Biratnagar ma delivery 3-4 business days ma hunchha.
open_qa,You are a helpful assistant. Answer the given user question., ,Timi kaha ko?,Ma online shopping platform ko assistant ho! Aba tapai ke khojda hunuhuncha?
translate,Translate the text below from English to Nepali:, ,"Nepali music reflects the emotions of the Himalayas, hills, and Terai.","Nepali sangeet ma himal, pahad, ra terai ko bhawana haru prakat huncha."
translate,"Translate the given text from English language to Roman Nepali Language language.
",,"They walked through the dense forest, following a narrow path that led to a hidden waterfall.","Uniharu ghanaghana jungle bata hiddai ek patalo bato follow garcha, jun lukeko jharna tir lagcha."
translate,Translate the text below from English to Nepali:, ,"I really love gardening, especially planting flowers. Today I planted new roses in my garden; now I’ll have to take care of them. Gardening really calms the mind.","Malai ta gardening dherai man parxa, especially flowers haru lagauna. Aajai maile mero garden ma new roses lagako xu, aba ali care garna parla. Gardening le ta mind lai calm garxa."
open_qa,You are a helpful assistant. Answer the given user question.,,Timi ghar ma washroom ko cleanliness kasari maintain garne?,"Washroom ko cleanliness maintain garne, daily cleaning garne, toilet brushes rakhne ani exhaust fan use garne."
RAG,Answer the following question by looking at the context if context is given.,"Hamro store ko head office Kathmandu, New Road ma chha. Head office ma customer support, accounts, ra management team haru baseka chha. Tapai le head office ma visit garera pani service lina sakchha.",Store ko head office kata chha?,"Head office Kathmandu, New Road ma chha."
RAG,Answer the following question by looking at the context if context is given.,"Product List: Redmi Note 9 Pro, Price: Rs. 20000. Samsung Galaxy, Price: Rs. 60000. iPhone, Price: Rs. 100000. Calculator, Price: Rs. 500. Sony TV, Price: Rs. 40000.",Calculator ko price kati ho?,Calculator ko price Rs. 500 ho.
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko ek prasiddha rajasik ghatna 2008 ma Nepal ko ghoshna ko rup ma loktantra ko sthapana ho. Nepal ko shahanshah ko rajya ko samapti garera, Nepal ko loktantrik prashasan ko pratishtha garincha. Yo ghatna Nepal ko rajasik ra samajik gati ko ek mahatvapurn samasya ho.",Nepal ko ek prasiddha rajasik ghatna ke ho?,"2008 ma Nepal ko ghoshna ko rup ma loktantra ko sthapana, Nepal ko ek prasiddha rajasik ghatna ho."
translate,Translate the text below from English to Nepali:, ,"The IT sector in Nepal is growing rapidly. Many young professionals are working in software development, digital marketing, and other IT-related fields.","Nepal ko IT sector teji le grow hudai chha. Dherai young professionals le software development, digital marketing, ra aru IT-related fields maa kaam gariraheka chhan."
translate,Translate the text below from Nepali to English:, ,Nature le manushya ko life ma inspiration ra creativity dincha.,Nature brings inspiration and creativity to life.
RAG,Answer the following question by looking at the context if context is given.,Nepal ko sabai bhanda badhi laye jansankhya wala nagar Kathmandu ho. Yaha ko jansankhya 1.5 million bhanda badhi ho.,Nepal ko sabai bhanda badhi laye jansankhya wala nagar kun ho?,Nepal ko sabai bhanda badhi laye jansankhya wala nagar Kathmandu ho.
RAG,Answer the following question by looking at the context if context is given.,"TechPoint, Pokhara-4, Baglung Road ma electronics saman Pokhara ko purba chhetrama free delivery chha. Baki Pokhara ko thau haruma delivery charge applicable chha.",Tapai Pokhara purba bhitra free delivery dinu huncha?,"Ho, Pokhara purba bhitra free delivery chha. Baki Pokhara ko thau haruma delivery charge lagcha."
open_qa,You are a helpful assistant. Answer the given user question., ,Hello sathi,Hello! Aba tapai ko lagi shopping ko help garna sakchhu?
translate,"Translate the given text from Roman Nepali language to English language.
",,Yo kaam ta timely delivery ko lagi prioritize garna parcha.,This work must be prioritized for timely delivery.
RAG,Answer the following question by looking at the context if context is given.,Heritage site conservation in Nepal focuses on restoring ancient monuments and promoting tourism. These efforts aim to preserve cultural identity.,Nepal ma heritage site conservation ko barema jankari dinus.,Nepal ma heritage site conservation ancient monuments restore garnu ra tourism promote garnu ma focus garcha. Yo efforts cultural identity preserve garna lai ho.
open_qa,You are a helpful assistant. Answer the given user question., ,Hi dai namaskar,Namaskar! Ma tapai ko sahayog ko lagi yaha chu. Aba ke madat garna sakchhu?
translate,Translate the text below from Nepali to English:, ,Nepal chadparva ra utsav ko desh ho. Pratyek chadparva ko afno mahatva chha ra dherai enthusiasm sanga manauchhan. Yi chadparvaharu le Nepal ko samriddha sanskritik dharohar lai reflect garchhan.,Nepal is a country of festivals and celebrations. Each festival has its own significance and is celebrated with great enthusiasm. These festivals reflect the rich cultural heritage of Nepal.
RAG,Answer the following question by looking at the context if context is given.,Hamro store ma Kathmandu upatyaka bhitra free delivery service cha. Bahira ko delivery service ko lagi additional charge lagcha.,K tapaiharu delivery service dinuhunchha?,"Ho, Kathmandu upatyaka bhitra free delivery cha."
open_qa,You are a helpful assistant. Answer the given user question.,,World ma sabai bhanda dherai boline language kun ho?,English.
translate,Translate the text below from Nepali to English:, ,"Football ek yasto sport ho jasle constantly change hudai chha. New rules, technologies, ra strategies lai game lai fresh ra exciting rakhnako lagi introduce gariraheko chha.","Football is a sport that is constantly changing. New rules, technologies, and strategies are introduced to keep the game fresh and exciting."
translate,Translate the text below from Nepali to English:, ,"Maile hare bihana dhyan abhyas garirakheko chu, ra yesle malai dherai focused ra sant mahasus garna sahayog gareko cha.","I have been practicing meditation every morning, and it has helped me feel more focused and calm."
RAG,Answer the following question by looking at the context if context is given.,"Nepal ko itihas dherai purano ra samriddha chha. Yaha kai 1768 ma Prithvi Narayan Shah le Nepal lai ekikaran garna suru gare. Tyo bela Nepal bhanda dherai chhoto desh thiyo, ra rajyaharuma bibhajit thiyo. Shah bamsa ko suruwat unai le gareko ho, ra unai le â€˜Nepal ek fulbari hoâ€™ bhanda jati jati ko samanwai ko mahatwa samjhae. Rana shashan ko kaal (1846 dekhi 1951) dherai kusto ra nirankush thiyo, jaha mancheharu lai swatantra bolne adhikar samma thien. 1950 ko kranti pachhi, Nepal le prajatantrik vyavastha ko shuruwat gareko ho, ra naya sambidhan le ek nauya ra loktantrik Nepal ko rooprekha prastut gareko chha. Aaj Nepal ek loktantrik ganatantra ho, jun 2008 ma rajtantra ko antim ra anti ho. Nepal ko rajnitik itihas ko ek arko rochak pahilu sambidhan tyo ho jasma chaar thulathula andolan haru le anek nyaya ko maang garne chhan. Nepal ko mahatwapurna itihas ko aro bhag Gautam Buddha ko janma thau Lumbini ra Kathmandu Upatyaka ma pareko dherai prachin devakutiko avashesh ho, jasma UNESCO World Heritage Sites jasto Swayambhunath ra Pashupatinath sammalit chhan.",Nepal ko rajnitik itihas ma kun kun bisesh ghatna haru chhan?,"Nepal ko rajnitik itihas ma Prithvi Narayan Shah le Nepal lai ekikaran garna suru gareko, Rana shashan ko nirankush kaal, 1950 ko kranti, ra 2008 ma rajtantra samapti hunu bisesh ghatna haru hun."
translate,Translate the text below from Nepali to English:, ,Lionel Messi ra Cristiano Ronaldo lai football ko history ka sabai bhanda mahaan players maa ganincha. Uniharule dherai awards jitchhukeka chhan ra afno career maa countless records todchhukeka chhan.,Lionel Messi and Cristiano Ronaldo are considered two of the greatest football players of all time. They have won numerous awards and broken countless records throughout their careers.
open_qa,You are a helpful assistant. Answer the given user question.,12,Yo sankhya ko factor haru patta laganuhos.,"12 ka factor haru: 1, 2, 3, 4, 6, ra 12 hun."
RAG,Answer the following question by looking at the context if context is given.,"Store ma seasonal discount haru hunchha. Dashain, Tihar, ra New Year ma 20% samma discount hunchha. Membership card bhaye additional 5% discount hunchha.",Store ma discount kati kati hunchha?,"Dashain, Tihar, ra New Year ma 20% samma discount hunchha. Membership card bhaye additional 5% discount hunchha."
translate,"Translate the given text from English language to Roman Nepali Language language.
",,"The library was a quiet haven for her, a place where she could lose herself in books for hours.","Library uska lagi ek shanta basna thaun thiyo, jaha usle ghanta haru kitabh ma harayeko huncha."
open_qa,You are a helpful assistant. Answer the given user question.,"Claim Process: If a product is received in a damaged condition, customers must file a claim within 48 hours of delivery. Contact customer support with order details and photographs of the damaged product. After verification, the replacement or refund process will be initiated within 7 business days.",Kasari damaged product claim file garna sakincha?,Damaged product claim file garna 48 hours vitra customer support ma order details ra photo pathaunus. Verification pachi 7 business days vitra replacement ya refund suru huncha.
translate,Translate the text below from English to Nepali:, ,Today I sat at a coffee shop and talked with my friend. It feels so good to spend time like that.,Aaja mero sathi sanga coffee shop ma basera kura gareko thiye. Kati ramro lagcha yaar tyasto bela.
open_qa,You are a helpful assistant. Answer the given user question.,,Surya ra chandra kaha dekhcha?,Aakash ma.
open_qa,You are a helpful assistant. Answer the given user question.,,Kasari tha huncha ki stove off cha ki chaina?,Stove off cha ki chaina bhanera check garna flame cha ki chaina hernus ani knob confirm garnus.
translate,Translate the text below from English to Nepali:, ,I love you.,Ma tapailai maya garchhu.
translate,Translate the text below from Nepali to English:, ,Electric vehicle haruko uday le yatayat udyog lai parivartan gardai cha ra carbon emission lai kam gariraheko cha.,The rise of electric vehicles is transforming the transportation industry and reducing carbon emissions.
RAG,Answer the following question by looking at the context if context is given.,Order confirmation email aayena bhane customer support ma samparka garnuhos. Discounts festive sales ma up to 50% cha. Refund 5-7 din ma process hunchha.,"Order confirmation email aayena, aba ke garne?",Order confirmation email aayena bhane customer support ma samparka garnuhos.
RAG,Answer the following question by looking at the context if context is given.,"eMartNepal, Biratnagar-9, Traffic Chowk ma electronics ko showroom ho. Biratnagar ma delivery free chha. Aba saman ko order Rs. 3000 mathi gareko bhaye Itahari ra Dharan samma free delivery available chha.",Itahari samma free delivery huncha?,"Hajur, Rs. 3000 mathi ko order gareko bhaye Itahari samma delivery free chha."
translate,"Translate the given text from English language to Roman Nepali Language language.
",,The hikers were thrilled to finally reach the top of the mountain after hours of climbing through rough terrain.,Hikers haru dherai ghanta ukalo rought terrain ma chadhera pahad ko choati pugera khusi bhae.
open_qa,You are a helpful assistant. Answer the given user question.,,Nepali ma ek prasiddha sahityik grantha ko naam dinus.,Shirish Ko Phool.
RAG,Answer the following question by looking at the context if context is given.,"Hajur, Butwal ma order Rs. 5,000 bhanda badi bhaye delivery charge free hunchha. Free delivery ma product 3-4 business days ma deliver hunchha.",Butwal ma free delivery chha?,"Hajur, order Rs. 5,000 bhanda badi bhaye delivery charge free hunchha."
translate,"Translate the given text from Roman Nepali language to English language.
",,hawa lagiraheko cha,It's breezy.
open_qa,You are a helpful assistant. Answer the given user question.,"Loyalty Program: Customers earn 1 loyalty point for every Rs. 100 spent. Points can be redeemed during checkout, with 1 point equaling Rs. 1. Minimum 50 points are required for redemption. Points expire 1 year from the date of earning.",Kasari loyalty points redeem garna sakincha?,"Loyalty points checkout ma redeem garna sakincha. 1 point Rs. 1 barabar huncha, ra minimum 50 points lagcha. Points ko expiry 1 barsa ma huncha."
translate,Translate the text below from Nepali to English:, ,Technology le manushya ko life ma global connection lai possible banayo.,Technology has made global connection possible in life.
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ma kati ritu huncha?,6 ota ritu huncha.
RAG,Answer the following question by looking at the context if context is given.,"Tech World, Kathmandu ma abaileko offer ma laptops ra accessories ma 10% discount cha. Delivery charge Kathmandu ma free cha.",Laptop haru ma discount cha?,Laptops ma 10% discount cha.
open_qa,You are a helpful assistant. Answer the given user question.,"tamatar, aalu, bhindi, mobile","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Mobile khane chij hoina, aru tinwota khane chij hun."
RAG,Answer the following question by looking at the context if context is given.,"Cooking appliances like blenders, air fryers, and pressure cookers are designed for efficient home use. Delivery is typically completed in 5 to 7 days, and defective products are covered under a 7-day return policy. Safety certifications for these appliances are listed in the product description, and warranty claims require proof of purchase and product photos for processing.",How can I confirm the safety certification for cooking appliances?,"Safety certifications for cooking appliances are clearly mentioned in the product description, ensuring they meet the required safety standards."
summary,Summarize the following text:,,Ek child prodigy le mathematics ma extraordinary skills dekhauncha. Aba usle international olympiad ma gold medal jitna sakcha.,Child prodigy le math olympiad ma gold medal jitna skills dekhauncha.
open_qa,You are a helpful assistant. Answer the given user question.,,Nepal ka kuch prasiddha taal haru ko naam lekhnu.,"Fewa Taal, Rara Taal, Begnas Taal, Gosaikunda Taal, Tilicho Taal."
RAG,Answer the following question by looking at the context if context is given.,Gateway Down: Retry after some time or use an alternative payment method. Usage Tip: Check the website for updates.,Payment garna ko lagi payment gateway down bhayo bhane ke garnu?,"Hajur, payment gateway down bhayo bhane kehi samaya pachi feri try garnuhos ya arko payment method use garnuhos. Website ma updates ko lagi hernu hola."
