category,context,question,response,instruction,prompt,eval_prompt,model_generation
RAG,Gift card balance 'My Gift Cards' section ma herna saknuhuncha. Discounts apply garna 'Apply Coupon' option use garnuhos. Refund ka lagi order cancel bhaepachi 5-7 din lagcha.,Gift card balance kasari herne?,Gift card balance 'My Gift Cards' section ma herna saknuhuncha.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Gift card balance kasari herne?
Context: Gift card balance 'My Gift Cards' section ma herna saknuhuncha. Discounts apply garna 'Apply Coupon' option use garnuhos. Refund ka lagi order cancel bhaepachi 5-7 din lagcha.<end_of_turn>
<start_of_turn>model
Gift card balance 'My Gift Cards' section ma herna saknuhuncha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Gift card balance kasari herne?
Context: Gift card balance 'My Gift Cards' section ma herna saknuhuncha. Discounts apply garna 'Apply Coupon' option use garnuhos. Refund ka lagi order cancel bhaepachi 5-7 din lagcha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Gift card balance kasari herne?
Context: Gift card balance 'My Gift Cards' section ma herna saknuhuncha. Discounts apply garna 'Apply Coupon' option use garnuhos. Refund ka lagi order cancel bhaepachi 5-7 din lagcha.<end_of_turn>
<start_of_turn>model
Gift card balance 'My Gift Cards' section ma herna saknuhuncha.<eos>"
RAG,You are an AI assistant for an e-commerce store and will clarify your identity.,timi kun store ko assistant ho?,ma ek AI assistant hu e-commerce ko laagi., ,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
timi kun store ko assistant ho?
Context: You are an AI assistant for an e-commerce store and will clarify your identity.<end_of_turn>
<start_of_turn>model
ma ek AI assistant hu e-commerce ko laagi.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
timi kun store ko assistant ho?
Context: You are an AI assistant for an e-commerce store and will clarify your identity.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
timi kun store ko assistant ho?
Context: You are an AI assistant for an e-commerce store and will clarify your identity.<end_of_turn>
<start_of_turn>model
ma ek e-commerce assistant ho.<eos>"
alpaca, ,Imagine you are a tour guide. Write a Roman Nepali description of the Annapurna Base Camp trek.,"Annapurna Base Camp trek Nepal ko euta pramukh trekking route ho. Yo trek ma dherai pahad, jungle, ra ramro manche haru sanga bhet huncha. Trek ko antim thau Annapurna Base Camp ho.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Imagine you are a tour guide. Write a Roman Nepali description of the Annapurna Base Camp trek.<end_of_turn>
<start_of_turn>model
Annapurna Base Camp trek Nepal ko euta pramukh trekking route ho. Yo trek ma dherai pahad, jungle, ra ramro manche haru sanga bhet huncha. Trek ko antim thau Annapurna Base Camp ho.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Imagine you are a tour guide. Write a Roman Nepali description of the Annapurna Base Camp trek.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Imagine you are a tour guide. Write a Roman Nepali description of the Annapurna Base Camp trek.<end_of_turn>
<start_of_turn>model
Annapurna Base Camp trek ek dherai popular hiking route ho. Yo trek le Annapurna range ko panoramic views provide garchha. Trek ko duration 8-10 din ho, jaha trekkers le Machhepuchhre, Annapurna Base Camp, ra Himalaya ko breathtaking views enjoy garchhan. Trek ko difficulty level moderate cha ra yo Nepal ko ek dherai beautiful trek ho.<eos>"
translate, ,Music strengthens the connection between humans and nature.,Music le manushya ko connection nature sanga strong banaucha.,Translate the text below from English to Nepali:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Music strengthens the connection between humans and nature.<end_of_turn>
<start_of_turn>model
Music le manushya ko connection nature sanga strong banaucha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Music strengthens the connection between humans and nature.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
Music strengthens the connection between humans and nature.<end_of_turn>
<start_of_turn>model
Music le manushya ra nature ko bich ko connection lai strengthen garcha.<eos>"
RAG,"Order cancel garepachi, confirmation email pathaunecha. Cancel bhayeko order ko refund 5-7 kaam din ma bank account ma aauchha. Online payment bhaye refund card ma janchha.","Maile order cancel gare, aba ke hunecha?","Order cancel garepachi, tapai lai confirmation email pathaunecha ra refund 5-7 kaam din ma bank account ma huncha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Maile order cancel gare, aba ke hunecha?
Context: Order cancel garepachi, confirmation email pathaunecha. Cancel bhayeko order ko refund 5-7 kaam din ma bank account ma aauchha. Online payment bhaye refund card ma janchha.<end_of_turn>
<start_of_turn>model
Order cancel garepachi, tapai lai confirmation email pathaunecha ra refund 5-7 kaam din ma bank account ma huncha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Maile order cancel gare, aba ke hunecha?
Context: Order cancel garepachi, confirmation email pathaunecha. Cancel bhayeko order ko refund 5-7 kaam din ma bank account ma aauchha. Online payment bhaye refund card ma janchha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Maile order cancel gare, aba ke hunecha?
Context: Order cancel garepachi, confirmation email pathaunecha. Cancel bhayeko order ko refund 5-7 kaam din ma bank account ma aauchha. Online payment bhaye refund card ma janchha.<end_of_turn>
<start_of_turn>model
Cancel garepachi confirmation email pathaunecha. Refund 5-7 kaam din ma bank account ma aauchha.<eos>"
translate, ,Music le manushya ko life ma positivity ra hope dincha.,Music brings positivity and hope to life.,Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Music le manushya ko life ma positivity ra hope dincha.<end_of_turn>
<start_of_turn>model
Music brings positivity and hope to life.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Music le manushya ko life ma positivity ra hope dincha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Music le manushya ko life ma positivity ra hope dincha.<end_of_turn>
<start_of_turn>model
Music brings positivity and hope to life.<eos>"
alpaca, ,Write a Roman Nepali sentence to describe your daily routine.,"Ma bihana 6 baje uthchu, brush garchu, ra nashta garchu.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Write a Roman Nepali sentence to describe your daily routine.<end_of_turn>
<start_of_turn>model
Ma bihana 6 baje uthchu, brush garchu, ra nashta garchu.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Write a Roman Nepali sentence to describe your daily routine.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Write a Roman Nepali sentence to describe your daily routine.<end_of_turn>
<start_of_turn>model
Mero daily routine ma 6 baje suru huncha.<eos>"
RAG,"Sunsari Tech Shop, Inaruwa ma cha. Hamile smartphones, laptops, ra Bluetooth headsets rakhchau. Delivery service ra repair facility available cha.","Tapai ko store ma 30,000 bhitra ko kun mobile phone available cha?","Sunsari Tech Shop ma Samsung Galaxy M11, Redmi 9A, ra Realme C21 available cha.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapai ko store ma 30,000 bhitra ko kun mobile phone available cha?
Context: Sunsari Tech Shop, Inaruwa ma cha. Hamile smartphones, laptops, ra Bluetooth headsets rakhchau. Delivery service ra repair facility available cha.<end_of_turn>
<start_of_turn>model
Sunsari Tech Shop ma Samsung Galaxy M11, Redmi 9A, ra Realme C21 available cha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapai ko store ma 30,000 bhitra ko kun mobile phone available cha?
Context: Sunsari Tech Shop, Inaruwa ma cha. Hamile smartphones, laptops, ra Bluetooth headsets rakhchau. Delivery service ra repair facility available cha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Tapai ko store ma 30,000 bhitra ko kun mobile phone available cha?
Context: Sunsari Tech Shop, Inaruwa ma cha. Hamile smartphones, laptops, ra Bluetooth headsets rakhchau. Delivery service ra repair facility available cha.<end_of_turn>
<start_of_turn>model
Sunsari Tech Shop ma Samsung Galaxy A13, Xiaomi Redmi Note 9, ra Realme Narzo 50A available cha.<eos>"
open_qa, ,World ma sabai bhanda fast animal kun ho?,Peregrine Falcon.,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
World ma sabai bhanda fast animal kun ho?<end_of_turn>
<start_of_turn>model
Peregrine Falcon.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
World ma sabai bhanda fast animal kun ho?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
World ma sabai bhanda fast animal kun ho?<end_of_turn>
<start_of_turn>model
Cheetah.<eos>"
translate, ,I feel like going trekking. I’m thinking of going to Annapurna Base Camp.,Malai trekking garna man lagcha. Annapurna Base Camp jane sochiraheko chu.,Translate the text below from English to Nepali:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
I feel like going trekking. I’m thinking of going to Annapurna Base Camp.<end_of_turn>
<start_of_turn>model
Malai trekking garna man lagcha. Annapurna Base Camp jane sochiraheko chu.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
I feel like going trekking. I’m thinking of going to Annapurna Base Camp.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from English to Nepali:
I feel like going trekking. I’m thinking of going to Annapurna Base Camp.<end_of_turn>
<start_of_turn>model
Malai trekking garna ichcha cha. Annapurna Base Camp ma jane sochiraheko chu.<eos>"
alpaca, ,Provide a list of 5 popular Nepali foods in Roman Nepali.,1. Dal Bhat 2. Momo 3. Sel Roti 4. Gundruk 5. Dhido, ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Provide a list of 5 popular Nepali foods in Roman Nepali.<end_of_turn>
<start_of_turn>model
1. Dal Bhat 2. Momo 3. Sel Roti 4. Gundruk 5. Dhido","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Provide a list of 5 popular Nepali foods in Roman Nepali.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Provide a list of 5 popular Nepali foods in Roman Nepali.<end_of_turn>
<start_of_turn>model
1. Dal Bhat Tarkari 2. Momo 3. Sel Roti 4. Newari Khana 5. Gundruk.<eos>"
translate, ,"Aajai maile mero ghar ko balcony ma new plants lagako xu, dherai ramro dekhinxa. Gardening le ta mind lai fresh nai garidinxa, ani malai pani ali time pass hunxa.","Today I planted new plants on my home balcony; they look so beautiful. Gardening really freshens up the mind, and it’s also a good way to pass time.",Translate the text below from Nepali to English:,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aajai maile mero ghar ko balcony ma new plants lagako xu, dherai ramro dekhinxa. Gardening le ta mind lai fresh nai garidinxa, ani malai pani ali time pass hunxa.<end_of_turn>
<start_of_turn>model
Today I planted new plants on my home balcony; they look so beautiful. Gardening really freshens up the mind, and it’s also a good way to pass time.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aajai maile mero ghar ko balcony ma new plants lagako xu, dherai ramro dekhinxa. Gardening le ta mind lai fresh nai garidinxa, ani malai pani ali time pass hunxa.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the text below from Nepali to English:
Aajai maile mero ghar ko balcony ma new plants lagako xu, dherai ramro dekhinxa. Gardening le ta mind lai fresh nai garidinxa, ani malai pani ali time pass hunxa.<end_of_turn>
<start_of_turn>model
Today I planted new plants in my balcony; they look so beautiful. Gardening really refreshes the mind, and it's also a good way to pass time.<eos>"
RAG,"Blockchain decentralized ledger ho, jun encryption use garcha ra tamper-proof records store garcha. Abaadi ek patak record bhayeko transaction change garna sakdaina.",Blockchain ma transaction secure kasari huncha?,Blockchain encryption ra tamper-proof ledger le transactions secure garcha.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Blockchain ma transaction secure kasari huncha?
Context: Blockchain decentralized ledger ho, jun encryption use garcha ra tamper-proof records store garcha. Abaadi ek patak record bhayeko transaction change garna sakdaina.<end_of_turn>
<start_of_turn>model
Blockchain encryption ra tamper-proof ledger le transactions secure garcha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Blockchain ma transaction secure kasari huncha?
Context: Blockchain decentralized ledger ho, jun encryption use garcha ra tamper-proof records store garcha. Abaadi ek patak record bhayeko transaction change garna sakdaina.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Blockchain ma transaction secure kasari huncha?
Context: Blockchain decentralized ledger ho, jun encryption use garcha ra tamper-proof records store garcha. Abaadi ek patak record bhayeko transaction change garna sakdaina.<end_of_turn>
<start_of_turn>model
Blockchain ma transaction secure encryption aur tamper-proof records ko karan huncha.<eos>"
