,category,context,question,response,instruction,prompt,eval_prompt,model_generation,model_response
10,alpaca, ,Euta short story lekha about a time traveler.,Euta manche le time machine banayo ra future ma gayo. Usle future ma dherai advanced technology ra happy society dekhyo. Usle future ko knowledge present ma lyayo ra afno desh lai develop garyo., ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Euta short story lekha about a time traveler.<end_of_turn>
<start_of_turn>model
Euta manche le time machine banayo ra future ma gayo. Usle future ma dherai advanced technology ra happy society dekhyo. Usle future ko knowledge present ma lyayo ra afno desh lai develop garyo.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Euta short story lekha about a time traveler.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Euta short story lekha about a time traveler.<end_of_turn>
<start_of_turn>model
Ek din ek time traveler le future jasto sochda thiyo. Unile future maa technology ko barema pani sochda thiyo. Unile future le manushya ko life lai kasari change garcha bhanera pani sochda thiyo.<eos>",Ek din ek time traveler le future jasto sochda thiyo. Unile future maa technology ko barema pani sochda thiyo. Unile future le manushya ko life lai kasari change garcha bhanera pani sochda thiyo.
11,alpaca, ,What is the concept of the nitrogen cycle? Explain in Roman Nepali.,"Nitrogen cycle bhaneko process ho jasma nitrogen lai atmosphere, soil, ra living organisms ko through recycle garincha. Bacteria le nitrogen lai fix garera plants lai provide garcha, animals le plants bata nitrogen consume garcha, ra decomposition le nitrogen lai soil ma return garcha.", ,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
What is the concept of the nitrogen cycle? Explain in Roman Nepali.<end_of_turn>
<start_of_turn>model
Nitrogen cycle bhaneko process ho jasma nitrogen lai atmosphere, soil, ra living organisms ko through recycle garincha. Bacteria le nitrogen lai fix garera plants lai provide garcha, animals le plants bata nitrogen consume garcha, ra decomposition le nitrogen lai soil ma return garcha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
What is the concept of the nitrogen cycle? Explain in Roman Nepali.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
What is the concept of the nitrogen cycle? Explain in Roman Nepali.<end_of_turn>
<start_of_turn>model
Nitrogen cycle bhaneko process ho jasma bacteria ra fungi le soil ma nitrogen lai convert garcha. Isko cycle le plants ko growth lai maintain garcha.<eos>",Nitrogen cycle bhaneko process ho jasma bacteria ra fungi le soil ma nitrogen lai convert garcha. Isko cycle le plants ko growth lai maintain garcha.
12,open_qa,Maile mero kaam sakisake.,Yo sentence English ma anuwaad garnuhos.,I have finished my work.,You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Yo sentence English ma anuwaad garnuhos.
Context: Maile mero kaam sakisake.<end_of_turn>
<start_of_turn>model
I have finished my work.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Yo sentence English ma anuwaad garnuhos.
Context: Maile mero kaam sakisake.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Yo sentence English ma anuwaad garnuhos.
Context: Maile mero kaam sakisake.<end_of_turn>
<start_of_turn>model
I have completed my work.<eos>",I have completed my work.
13,RAG,"Biratnagar Electronics Hub, Main Road ma delivery free chha Biratnagar vitra. Hamro stock ma gaming laptops, DSLRs, ra home audio systems pani chha. Hami haru ko saman ko quality ma bishwaas garna saknu huncha.",Biratnagar Electronics ma gaming laptop ko kun model available chha?,"Hamro store ma ASUS ROG Strix, Dell Alienware ra HP Omen jasta gaming laptops available chhan.",Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Biratnagar Electronics ma gaming laptop ko kun model available chha?
Context: Biratnagar Electronics Hub, Main Road ma delivery free chha Biratnagar vitra. Hamro stock ma gaming laptops, DSLRs, ra home audio systems pani chha. Hami haru ko saman ko quality ma bishwaas garna saknu huncha.<end_of_turn>
<start_of_turn>model
Hamro store ma ASUS ROG Strix, Dell Alienware ra HP Omen jasta gaming laptops available chhan.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Biratnagar Electronics ma gaming laptop ko kun model available chha?
Context: Biratnagar Electronics Hub, Main Road ma delivery free chha Biratnagar vitra. Hamro stock ma gaming laptops, DSLRs, ra home audio systems pani chha. Hami haru ko saman ko quality ma bishwaas garna saknu huncha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Biratnagar Electronics ma gaming laptop ko kun model available chha?
Context: Biratnagar Electronics Hub, Main Road ma delivery free chha Biratnagar vitra. Hamro stock ma gaming laptops, DSLRs, ra home audio systems pani chha. Hami haru ko saman ko quality ma bishwaas garna saknu huncha.<end_of_turn>
<start_of_turn>model
Biratnagar Electronics ma MSI GF75, Dell Inspiron 15 Gaming, ra ASUS TUF Gaming A15 available chhan.<eos>","Biratnagar Electronics ma MSI GF75, Dell Inspiron 15 Gaming, ra ASUS TUF Gaming A15 available chhan."
14,translate, ,malai padhnu cha,I need to study.,"Translate the given text from Roman Nepali language to English language.
","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

malai padhnu cha<end_of_turn>
<start_of_turn>model
I need to study.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

malai padhnu cha<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction.<end_of_turn>
<start_of_turn>user
Translate the given text from Roman Nepali language to English language.

malai padhnu cha<end_of_turn>
<start_of_turn>model
I want to study.<eos>",I want to study.
15,open_qa,"taara, chandra, surya, aalu","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Aalu taara hoina, aru tinwota taara hun.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.

Context: taara, chandra, surya, aalu<end_of_turn>
<start_of_turn>model
Aalu taara hoina, aru tinwota taara hun.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.

Context: taara, chandra, surya, aalu<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.

Context: taara, chandra, surya, aalu<end_of_turn>
<start_of_turn>model
Aalu surya hoina, aru tinwota surya ho.<eos>","Aalu surya hoina, aru tinwota surya ho."
16,open_qa, ,Cooking ma beginners le kasari start garna sakcha?,"Beginners le cooking suru garna basic recipes sikera suru garne, jastai rice, dal, ya omelet. Simple tools ko use ani basic ingredients ko knowledge le help garna sakcha. Cooking video tutorials ya apps ko madad le sikne. Paila small quantity banayera experiment garne ani pachhi confidence badhaune. Regular practice le cooking skills improve garna madad garcha.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Cooking ma beginners le kasari start garna sakcha?<end_of_turn>
<start_of_turn>model
Beginners le cooking suru garna basic recipes sikera suru garne, jastai rice, dal, ya omelet. Simple tools ko use ani basic ingredients ko knowledge le help garna sakcha. Cooking video tutorials ya apps ko madad le sikne. Paila small quantity banayera experiment garne ani pachhi confidence badhaune. Regular practice le cooking skills improve garna madad garcha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Cooking ma beginners le kasari start garna sakcha?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Cooking ma beginners le kasari start garna sakcha?<end_of_turn>
<start_of_turn>model
Cooking ma beginners le simple recipes start garna, small batch banauna, ani step-by-step instructions follow garna sakcha.<eos>","Cooking ma beginners le simple recipes start garna, small batch banauna, ani step-by-step instructions follow garna sakcha."
17,RAG,"Hamro store le dubaile pre-payment ra cash on delivery (COD) service offer garcha. COD Kathmandu upatyaka ra major cities ma available chha. Kathmandu ma COD delivery 1-2 din ma complete huncha, Kathmandu bahira 3-5 din lagcha.",Delivery ko lagi pre-payment garnu parcha ki cash on delivery huncha?,Delivery ko lagi pre-payment ra cash on delivery dubaile option available chha.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery ko lagi pre-payment garnu parcha ki cash on delivery huncha?
Context: Hamro store le dubaile pre-payment ra cash on delivery (COD) service offer garcha. COD Kathmandu upatyaka ra major cities ma available chha. Kathmandu ma COD delivery 1-2 din ma complete huncha, Kathmandu bahira 3-5 din lagcha.<end_of_turn>
<start_of_turn>model
Delivery ko lagi pre-payment ra cash on delivery dubaile option available chha.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery ko lagi pre-payment garnu parcha ki cash on delivery huncha?
Context: Hamro store le dubaile pre-payment ra cash on delivery (COD) service offer garcha. COD Kathmandu upatyaka ra major cities ma available chha. Kathmandu ma COD delivery 1-2 din ma complete huncha, Kathmandu bahira 3-5 din lagcha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
Delivery ko lagi pre-payment garnu parcha ki cash on delivery huncha?
Context: Hamro store le dubaile pre-payment ra cash on delivery (COD) service offer garcha. COD Kathmandu upatyaka ra major cities ma available chha. Kathmandu ma COD delivery 1-2 din ma complete huncha, Kathmandu bahira 3-5 din lagcha.<end_of_turn>
<start_of_turn>model
Ho, cash on delivery ko option available chha.<eos>","Ho, cash on delivery ko option available chha."
18,open_qa, ,Timi sangai kun kun payment options cha?,"Hami sangai online payment, cash on delivery, ra EMI options available cha.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Timi sangai kun kun payment options cha?<end_of_turn>
<start_of_turn>model
Hami sangai online payment, cash on delivery, ra EMI options available cha.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Timi sangai kun kun payment options cha?<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Timi sangai kun kun payment options cha?<end_of_turn>
<start_of_turn>model
Hajur, tapai ko lagi eSewa, Khalti, mobile banking, ra QR code scan garera payment garna saknuhuncha.<eos>","Hajur, tapai ko lagi eSewa, Khalti, mobile banking, ra QR code scan garera payment garna saknuhuncha."
19,RAG,Hamro system eSewa ra Khalti dubaiko support garcha. Dubaile digital wallet ko secure ra fast service provide garcha.,online wallet ko kun best option ho?,eSewa ra Khalti dubaile best online wallet options hun.,Answer the following question by looking at the context if context is given.,"<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
online wallet ko kun best option ho?
Context: Hamro system eSewa ra Khalti dubaiko support garcha. Dubaile digital wallet ko secure ra fast service provide garcha.<end_of_turn>
<start_of_turn>model
eSewa ra Khalti dubaile best online wallet options hun.","<start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
online wallet ko kun best option ho?
Context: Hamro system eSewa ra Khalti dubaiko support garcha. Dubaile digital wallet ko secure ra fast service provide garcha.<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are an AI assistant who responds to user instructions. Use the context information to answer if it is given, and respond in Roman Nepali.<end_of_turn>
<start_of_turn>user
online wallet ko kun best option ho?
Context: Hamro system eSewa ra Khalti dubaiko support garcha. Dubaile digital wallet ko secure ra fast service provide garcha.<end_of_turn>
<start_of_turn>model
Online wallet ko best option ho eSewa ra Khalti.<eos>",Online wallet ko best option ho eSewa ra Khalti.
20,open_qa,"radio, ghanti, laptop, haat","Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.
","Haat bajne chij hoina, aru tinwota bajne chij hun.",You are a helpful assistant. Answer the given user question.,"<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.

Context: radio, ghanti, laptop, haat<end_of_turn>
<start_of_turn>model
Haat bajne chij hoina, aru tinwota bajne chij hun.","<start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.

Context: radio, ghanti, laptop, haat<end_of_turn>
<start_of_turn>model
","<bos><start_of_turn>system
You are helpful AI Assistant follow the user instruction and respond in Roman Nepali language.<end_of_turn>
<start_of_turn>user
Tala vayeka words haru madhye kun odd word ho valid reason sahit vannuhos.

Context: radio, ghanti, laptop, haat<end_of_turn>
<start_of_turn>model
GHANTI bhasha ma kura gardai chhaina, aru tinwota bhasha ma kura gardai chhan.<eos>","GHANTI bhasha ma kura gardai chhaina, aru tinwota bhasha ma kura gardai chhan."
