id,question,answer,intent
142,order garna ko lagi checkout kasari garne?,"order garna ko lagi checkout garna, cart maa rakhiyeko product checkout page maa gayera address ra payment details bharera proceed garne.",order
143,product order kasari garne?,"product order garna, product detail page maa gayera add to cart maa click garera checkout page maa gayera payment garne.",order
144,order ko lagi payment kasari garne?,"order ko lagi payment garna, checkout page maa gayera address ra payment details bharera proceed button maa click garne.",order
145,order process kasari cha?,"order process maa pahila product select garera add to cart garne, ani checkout maa gayera address ra payment details bharera order complete garne.",order
146,checkout kasari janey?,"checkout page janey, cart maa rakhiyeko product checkout option maa click garera jane.",order
147,order kasari garne?,"order garna, product add to cart garera checkout maa gayera address ra payment details bharera order complete garne.",order
148,order confirm huncha ki hunna?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
149,order kasari repeat garne?,"order repeat garna, order history maa gayera repeat order button maa click garne.",order
150,order kasari cancel garne?,"order cancel garna, order history maa gayera cancel order button maa click garne.",order
151,order kasari view garne?,"order view garna, order history maa gayera view order details button maa click garne.",order
152,order kasari update garne?,"order update garna, order history maa gayera edit order button maa click garne.",order
153,order kasari track garne?,"order track garna, order history maa gayera track order button maa click garne.",order
154,order confirmation email kasari aauxa?,"order confirmation email, checkout maa order place garepachi register gareko email maa aauxa.",order
155,order confirmation text kasari aauxa?,"order confirmation text, checkout maa order place garepachi register gareko mobile number maa aauxa.",order
156,order garna payment options k k cha?,"payment options maa credit card, debit card, net banking, ra cash on delivery cha.",order
157,order ko lagi coupon kasari apply garne?,"order ko lagi coupon apply garna, checkout page maa coupon code section maa coupon code type garera apply button maa click garne.",order
158,order kasari verify garne?,"order verify garna, checkout page maa address ra payment details verify garera place order button maa click garne.",order
159,order confirm kasari huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
160,order garna specific time cha?,"order garna specific time chaina, 24/7 online order garna saknuhunchha.",order
161,order kasari update huncha?,"order update huncha, order history maa gayera modify order button maa click garepachi.",order
162,order kasari manage garne?,"order manage garna, order history maa gayera order details edit garne, cancel garne ya track garne.",order
163,product kasari order garne?,"product order garna, product detail page maa gayera add to cart maa click garera checkout page maa gayera payment garne.",order
164,order ko lagi checkout kasari garne?,"order ko lagi checkout garna, checkout page maa gayera address ra payment details bharera proceed button maa click garne.",order
165,order confirm huncha ki?,"order confirm huncha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
166,order confirm garna kasari huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
167,order kasari process huncha?,"order process huncha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
168,order garna specific time cha?,"order garna specific time chaina, 24/7 online order garna saknuhunchha.",order
169,order kasari update garne?,"order update garna, order history maa gayera edit order button maa click garne.",order
170,order confirm hunchha ki?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
171,product order kasari thapchha?,"product order thapna, product detail page maa gayera add to cart maa click garne ani checkout maa gayera order complete garne.",order
172,order page kasari pauxa?,"order page janey, add to cart garepachi checkout option maa click garera jane.",order
173,order ko lagi checkout kasari garne?,"order ko lagi checkout garna, cart maa rakhiyeko product checkout page maa gayera address ra payment details bharera proceed garne.",order
174,order garna ko lagi ki garne?,"order garna ko lagi, product lai add to cart garera checkout page maa gayera address ra payment details bharera order garne.",order
175,order confirm kasari huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
176,order kasari process garne?,"order process garna, product add to cart garera checkout maa gayera address ra payment details bharera order complete garne.",order
177,order confirm huncha ki hunna?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
178,order ko confirmation email kasari aauxa?,"order ko confirmation email, checkout maa order place garepachi register gareko email maa aauxa.",order
179,order ko lagi coupon kasari apply garne?,"order ko lagi coupon apply garna, checkout page maa coupon code section maa coupon code type garera apply button maa click garne.",order
180,order kasari verify garne?,"order verify garna, checkout page maa address ra payment details verify garera place order button maa click garne.",order
181,order confirm hunchha ki hunna?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
182,order kasari manage garne?,"order manage garna, order history maa gayera order details edit garne, cancel garne ya track garne.",order
183,order confirm huncha ki?,"order confirm huncha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
184,order kasari process huncha?,"order process huncha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
185,order garna specific time cha?,"order garna specific time chaina, 24/7 online order garna saknuhunchha.",order
186,order kasari update huncha?,"order update huncha, order history maa gayera modify order button maa click garepachi.",order
187,order kasari cancel garne?,"order cancel garna, order history maa gayera cancel order button maa click garne.",order
188,order confirm kasari huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
189,order kasari repeat garne?,"order repeat garna, order history maa gayera repeat order button maa click garne.",order
190,order kasari view garne?,"order view garna, order history maa gayera view order details button maa click garne.",order
191,order confirmation email kasari aauxa?,"order confirmation email, checkout maa order place garepachi register gareko email maa aauxa.",order
192,order confirmation text kasari aauxa?,"order confirmation text, checkout maa order place garepachi register gareko mobile number maa aauxa.",order
193,order garna payment options k k cha?,"payment options maa credit card, debit card, net banking, ra cash on delivery cha.",order
194,order ko lagi coupon kasari apply garne?,"order ko lagi coupon apply garna, checkout page maa coupon code section maa coupon code type garera apply button maa click garne.",order
195,order kasari verify garne?,"order verify garna, checkout page maa address ra payment details verify garera place order button maa click garne.",order
196,order kasari manage garne?,"order manage garna, order history maa gayera order details edit garne, cancel garne ya track garne.",order
197,order confirm huncha ki?,"order confirm huncha, checkout page maa address ra payment details bharera place order button maa click garepachi.",order
198,order kasari process garne?,"order process garna, product add to cart garera checkout maa gayera address ra payment details bharera order complete garne.",order
199,order confirm huncha ki hunna?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
200,order kasari track garne?,"order track garna, order history maa gayera track order button maa click garne.",order
201,order ko lagi kasari proceed garne?,"order ko lagi proceed garna, product lai add to cart garera checkout page maa gayera payment garne.",order
202,order ko confirmation kasari aauxa?,"order ko confirmation email ya text ma aauxa, checkout page maa order place garepachi.",order
203,order garna lai k k details chahincha?,"order garna lai address, contact number, ra payment details chahincha.",order
204,product order kasari confirm garne?,product order confirm garna checkout page maa address ra payment details bharera place order button maa click garne.,order
205,order ko lagi payment options kasari choose garne?,order ko lagi payment options choose garna checkout page maa available payment methods bata select garne.,order
206,product order kasari suru garne?,"product order suru garna, product page maa gayera add to cart garne ani checkout maa gayera payment garera order complete garne.",order
207,order garna coupon code kasari use garne?,order garna coupon code use garna checkout page maa coupon code section maa code type garera apply button maa click garne.,order
208,order kasari paxi confirm garne?,"order paxi confirm garna, order history maa gayera confirm order button maa click garne.",order
209,order ko lagi address kasari add garne?,"order ko lagi address add garna, checkout page maa new address option maa click garera details bharne.",order
210,order garna kasto internet connection chahincha?,order garna reliable ra fast internet connection chahincha.,order
211,order confirmation kasari dekhcha?,order confirmation checkout garepachi email ya text message maa aauxa.,order
212,order garna lai kya cheej chahincha?,"order garna lai address, contact number, ra payment method chahincha.",order
213,product order kasari process garne?,"product order process garna, product select garera add to cart maa click garne, ani checkout page maa gayera payment garne.",order
214,order kasari sure hunchha?,order sure hunchha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
215,order garna k k information chahincha?,"order garna address, contact number, ra payment information chahincha.",order
216,product order kasari thik cha bhanera confirm garne?,product order thik cha bhanera confirm garna checkout page maa details verify garera place order button maa click garne.,order
217,order ko confirmation kasari paune?,order ko confirmation checkout page maa order place garepachi email ra text message maa aauxa.,order
218,order kasari place garne?,order place garna checkout page maa address ra payment details bharera place order button maa click garne.,order
219,order garna contact number chahincha ki?,"ho, order garna contact number chahincha.",order
220,order ko confirmation paune tarika k ho?,order ko confirmation email ra text message maa pauna sakinchha checkout garepachi.,order
221,order garna lai k k details bharna parchha?,"order garna lai address, contact number, ra payment details bharna parchha.",order
222,order kasari confirm garna sakinchha?,order confirm garna checkout page maa address ra payment details bharera place order button maa click garne.,order
223,order confirmation email maa k k hunchha?,"order confirmation email maa order number, order details, delivery address, ra estimated delivery date hunchha.",order
224,order garna address kasari add garne?,"order garna address add garna, checkout page maa new address option maa click garera details bharne.",order
225,order kasari verify garna sakinchha?,order verify garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
226,order garna internet connection kasari hunu parchha?,order garna reliable ra fast internet connection hunu parchha.,order
227,product order kasari hunchha?,"product order hunchha product select garera add to cart garne, ani checkout page maa gayera payment garera order complete garne.",order
228,order ko confirmation kasari aauxa?,order ko confirmation email ra text message maa aauxa checkout garepachi.,order
229,order garna ki garnu parchha?,order garna product add to cart garera checkout maa gayera address ra payment details bharera place order button maa click garnu parchha.,order
230,order kasari suru hunchha?,order suru hunchha product select garera add to cart garera checkout maa gayera payment garera order complete garepachi.,order
231,order ko confirmation kasari huncha?,order ko confirmation email ra text message maa huncha checkout garepachi.,order
232,order kasari process garne?,order process garna product add to cart garera checkout page maa gayera address ra payment details bharera place order button maa click garne.,order
233,order garna lai k k chahincha?,"order garna lai address, contact number, ra payment details chahincha.",order
234,product order kasari confirm garne?,product order confirm garna checkout page maa address ra payment details bharera place order button maa click garne.,order
235,order garna lai contact number chahincha ki?,"ho, order garna lai contact number chahincha.",order
236,order kasari confirm hunchha?,order confirm hunchha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
237,order garna ke garnu parchha?,order garna product lai add to cart garera checkout page maa gayera address ra payment details bharera place order button maa click garnu parchha.,order
238,order ko confirmation email maa k k hunchha?,"order ko confirmation email maa order number, order details, delivery address, ra estimated delivery date hunchha.",order
239,order garna kasari proceed garne?,"order garna proceed garna, product lai add to cart garera checkout page maa gayera payment garne.",order
240,order ko confirmation kasari aauxa?,order ko confirmation email ya text message maa aauxa checkout page maa order place garepachi.,order
241,order garna k k details chahincha?,"order garna address, contact number, ra payment details chahincha.",order
242,product order kasari thik cha bhanera confirm garne?,product order thik cha bhanera confirm garna checkout page maa details verify garera place order button maa click garne.,order
243,order ko lagi address kasari add garne?,"order ko lagi address add garna, checkout page maa new address option maa click garera details bharne.",order
244,order garna k k information chahincha?,"order garna address, contact number, ra payment information chahincha.",order
245,order kasari sure hunchha?,order sure hunchha checkout page maa address ra payment details verify garera place order button maa click garepachi.,order
246,product order kasari process garne?,"product order process garna, product select garera add to cart maa click garne, ani checkout page maa gayera payment garne.",order
247,order garna lai kya cheej chahincha?,"order garna lai address, contact number, ra payment method chahincha.",order
248,order garna contact number chahincha ki?,"ho, order garna contact number chahincha.",order
249,order kasari confirm garna sakinchha?,order confirm garna checkout page maa address ra payment details bharera place order button maa click garne.,order
250,order kasari verify garna sakinchha?,order verify garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
251,order garna ki garnu parchha?,order garna product add to cart garera checkout maa gayera address ra payment details bharera place order button maa click garnu parchha.,order
252,order ko lagi payment options kasari choose garne?,order ko lagi payment options choose garna checkout page maa available payment methods bata select garne.,order
253,order kasari place garne?,order place garna checkout page maa address ra payment details bharera place order button maa click garne.,order
254,product order kasari suru garne?,"product order suru garna, product page maa gayera add to cart garne ani checkout maa gayera payment garera order complete garne.",order
255,order kasari suru hunchha?,order suru hunchha product select garera add to cart garera checkout maa gayera payment garera order complete garepachi.,order
256,order garna kasto internet connection chahincha?,order garna reliable ra fast internet connection chahincha.,order
257,order garna k k details bharna parchha?,"order garna lai address, contact number, ra payment details bharna parchha.",order
258,order ko confirmation paune tarika k ho?,order ko confirmation email ra text message maa pauna sakinchha checkout garepachi.,order
259,order ko confirmation kasari huncha?,order ko confirmation email ra text message maa huncha checkout garepachi.,order
260,order kasari confirm huncha?,order confirm huncha checkout page maa address ra payment details bharera place order button maa click garepachi.,order
261,order garna ki garnu parchha?,order garna product lai add to cart garera checkout page maa gayera address ra payment details bharera place order button maa click garnu parchha.,order
262,order garna kasari proceed garne?,"order garna proceed garna, product lai add to cart garera checkout page maa gayera payment garne.",order
263,order kasari process garne?,order process garna product add to cart garera checkout page maa gayera address ra payment details bharera place order button maa click garne.,order
264,order garna lai k k chahincha?,"order garna lai address, contact number, ra payment details chahincha.",order
265,order kasari confirm garna sakinchha?,order confirm garna checkout page maa address ra payment details bharera place order button maa click garne.,order
266,order ko confirmation kasari aauxa?,order ko confirmation email ya text message maa aauxa checkout page maa order place garepachi.,order
267,order garna kasari suru garne?,order suru garna product select garera add to cart garne ani checkout page maa gayera address ra payment details bharera place order button maa click garne.,order
268,order ko lagi address kasari add garne?,"order ko lagi address add garna, checkout page maa new address option maa click garera details bharne.",order
269,order garna kasari confirm garne?,order confirm garna checkout page maa address ra payment details verify garera place order button maa click garne.,order
